Time,Nose X,Nose Y,Nose Z,Neck X,Neck Y,Neck Z,RShoulder X,RShoulder Y,RShoulder Z,RElbow X,RElbow Y,RElbow Z,RWrist X,RWrist Y,RWrist Z,LShoulder X,LShoulder Y,LShoulder Z,LElbow X,LElbow Y,LElbow Z,LWrist X,LWrist Y,LWrist Z,MidHip X,MidHip Y,MidHip Z,RHip X,RHip Y,RHip Z,RKnee X,RKnee Y,RKnee Z,RAnkle X,RAnkle Y,RAnkle Z,LHip X,LHip Y,LHip Z,LKnee X,LKnee Y,LKnee Z,LAnkle X,LAnkle Y,LAnkle Z,REye X,REye Y,REye Z,LEye X,LEye Y,LEye Z,REar X,REar Y,REar Z,LEar X,LEar Y,LEar Z,LBigToe X,LBigToe Y,LBigToe Z,LSmallToe X,LSmallToe Y,LSmallToe Z,LHeel X,LHeel Y,LHeel Z,RBigToe X,RBigToe Y,RBigToe Z,RSmallToe X,RSmallToe Y,RSmallToe Z,RHeel X,RHeel Y,RHeel Z
0.019301,0.230441,0.0159457,2.024,0.237745,0.176933,2.05,0.0909794,0.171414,2.087,0.0361721,0.389858,2.004,-0,-0,0,0.38761,0.179913,2.035,0.414475,0.386834,1.829,-0,-0,0,0.200674,0.457641,1.73,0.125797,0.492521,1.877,-0,-0,0,-0,-0,0,0.245057,0.407689,1.505,-0,-0,0,-0,-0,0,0.209615,-0.0184138,2.031,0.261662,-0.0141626,2.032,0.16573,-0.00576386,2.076,0.315611,0.00734963,2.046,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.036101,0.247632,0.0245344,2.024,0.229039,0.181224,2.049,0.0817176,0.179209,2.075,0.0235966,0.393201,2.021,-0,-0,0,0.386509,0.179444,2.029,0.414631,0.390672,1.829,-0,-0,0,0.205491,0.466588,1.709,0.132926,0.497322,1.865,-0,-0,0,-0,-0,0,0.245622,0.409683,1.489,-0,-0,0,-0,-0,0,0.217568,-0.0140319,2.025,0.279521,-0.00557638,2.036,0.165103,-0.00126097,2.068,0.31603,0.0116522,2.048,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.052901,0.213419,0.0116459,2.027,0.219594,0.180721,2.042,0.0510347,0.167064,2.088,-0.128405,0.39705,2.042,0.0511089,0.426366,1.92,0.389696,0.187589,2.023,0.417147,0.385365,1.84,0.297857,0.409361,1.599,0.163717,0.536483,1.81,0.0668161,0.560535,1.905,-3.70002,-2.02971,5.416,-3.70002,-2.02971,5.416,0.20731,0.433429,1.422,-3.70002,-2.02971,5.416,-3.70002,-2.02971,5.416,0.184396,-0.0187039,2.037,0.252527,-0.0184753,2.03,0.151811,0.00735604,2.068,0.321388,0.0073906,2.055,-3.70002,-2.02971,5.416,-3.70002,-2.02971,5.416,-3.70002,-2.02971,5.416,-3.70002,-2.02971,5.416,-3.70002,-2.02971,5.416,-3.70002,-2.02971,5.416
0.069701,0.213027,0.011676,2.023,0.219617,0.184894,2.042,0.0510373,0.167015,2.087,-0.128524,0.393986,2.047,0.0508769,0.429719,1.917,0.387086,0.190524,2.009,0.406171,0.386687,1.792,0.296262,0.410646,1.591,0.162183,0.531975,1.795,0.062432,0.553492,1.895,-0,-0,0,-0,-0,0,0.204418,0.433736,1.423,-0,-0,0,-0,-0,0,0.184418,-0.0226721,2.037,0.25208,-0.0184426,2.026,0.151828,0.00303169,2.068,0.32114,0.00308016,2.054,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.086501,0.212963,0.0118098,2.023,0.219504,0.184832,2.041,0.0511113,0.172095,2.096,-0.128626,0.394225,2.048,0.0512516,0.423749,1.926,0.387692,0.190802,2.012,0.415182,0.387671,1.815,0.308522,0.411315,1.62,0.163323,0.535266,1.806,0.0628043,0.561034,1.907,-0,-0,0,-0,-0,0,0.208183,0.432267,1.428,-0,-0,0,-0,-0,0,0.187263,-0.018475,2.025,0.25177,-0.0183018,2.024,0.15207,-0.00135414,2.07,0.32112,0.00742412,2.053,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.103301,0.209178,0.0117929,2.026,0.219529,0.185006,2.041,0.0507491,0.179665,2.082,-0.129023,0.399065,2.052,0.047322,0.424955,1.932,0.392723,0.195548,2.017,0.410452,0.390822,1.794,0.309315,0.408975,1.624,0.164121,0.528916,1.772,0.0712026,0.566614,1.912,-0,-0,0,-0,-0,0,0.216957,0.431665,1.426,-0,-0,0,-0,-0,0,0.184406,-0.0186122,2.037,0.252098,-0.0183781,2.027,0.151715,0.00310134,2.065,0.321025,0.011532,2.053,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.120101,0.213375,0.011787,2.027,0.223401,0.180531,2.04,0.0557708,0.163815,2.102,-0.128343,0.393516,2.045,0.0513715,0.425407,1.934,0.388741,0.187238,2.018,0.416376,0.384861,1.82,0.309576,0.412601,1.625,0.163519,0.523009,1.765,0.0744596,0.553253,1.894,-3.99993,-2.19423,5.855,-3.99993,-2.19423,5.855,0.216983,0.425621,1.426,-3.99993,-2.19423,5.855,-3.99993,-2.19423,5.855,0.187888,-0.0185479,2.032,0.248574,-0.0183942,2.031,0.151749,0.00315718,2.066,0.322979,0.00744669,2.065,-3.99993,-2.19423,5.855,-3.99993,-2.19423,5.855,-3.99993,-2.19423,5.855,-3.99993,-2.19423,5.855,-3.99993,-2.19423,5.855,-3.99993,-2.19423,5.855
0.136901,0.213032,0.0117239,2.023,0.223406,0.18474,2.04,0.0511235,0.171722,2.092,-0.124814,0.395007,2.053,0.0671317,0.433259,1.915,0.392886,0.191381,2.018,0.413817,0.390312,1.809,0.305366,0.410472,1.603,0.161774,0.530424,1.79,0.0549668,0.558759,1.913,-0,-0,0,-0,-0,0,0.207863,0.431664,1.426,-0,-0,0,-0,-0,0,0.187337,-0.0185213,2.026,0.252025,-0.0183844,2.026,0.152206,0.00745071,2.073,0.322269,0.0116217,2.061,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.153701,0.208848,0.0117361,2.023,0.219463,0.184661,2.041,0.0511459,0.167233,2.09,-0.124425,0.393809,2.047,0.0551434,0.426462,1.92,0.389038,0.187433,2.02,0.412186,0.384392,1.818,0.304486,0.412682,1.599,0.163329,0.515575,1.765,0.0700156,0.542297,1.884,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,0.215305,0.425228,1.435,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,0.183941,-0.0185384,2.032,0.248734,-0.0183812,2.032,0.151318,0.00736485,2.059,0.321861,0.0115862,2.058,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245
0.170501,0.208956,0.0117598,2.024,0.219541,0.184656,2.041,0.0512798,0.163288,2.095,-0.124334,0.393828,2.048,0.0550473,0.429683,1.917,0.388368,0.187073,2.016,0.411565,0.383968,1.815,0.305484,0.413958,1.604,0.162642,0.517216,1.758,0.0662927,0.543499,1.888,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,0.211098,0.42588,1.427,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,0.184258,-0.0186521,2.036,0.252662,-0.0184482,2.031,0.151283,0.00311606,2.06,0.322349,0.0075219,2.061,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245,-3.5832,-1.96563,5.245
