Trajectories
100
,,ValidationHealthy014:Rdeltoid,,,ValidationHealthy014:RMidArm,,,ValidationHealthy014:RElbRadial,,,ValidationHealthy014:RElbUlna,,,ValidationHealthy014:RMidForeArm,,,ValidationHealthy014:RWrist1,,,ValidationHealthy014:RWrist2,,,ValidationHealthy014:RFingerJoint,,,ValidationHealthy014:LDeltoid,,,ValidationHealthy014:LMidArm,,,ValidationHealthy014:LElbRadial,,,ValidationHealthy014:LElbUlna,,,ValidationHealthy014:LMidForearm,,,ValidationHealthy014:Lwrist1,,,ValidationHealthy014:LWrist2,,,ValidationHealthy014:LFingerJoint,,,ValidationHealthy014:C7,,,ValidationHealthy014:Neck,,,ValidationHealthy014:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,272.512024,69.207733,1082.651611,295.541046,173.595947,933.393250,380.282776,192.806946,780.970825,323.027466,238.171982,796.292725,240.790451,146.080750,776.150391,206.140045,51.599922,724.911377,188.738846,41.270962,784.188599,162.648102,-45.014717,757.995605,273.489777,-241.865067,1074.504883,258.039307,-286.935516,882.684265,262.175659,-236.534561,736.182861,225.523514,-296.465485,755.674011,122.008110,-248.485184,781.939453,3.818233,-225.059479,751.601013,14.370896,-161.558167,767.964966,-70.148758,-167.546432,787.746216,329.589386,-83.413597,1134.634766,225.859604,-83.546555,1084.096802,189.866180,-85.778938,967.373779
2,0,272.499023,69.227058,1082.645874,295.538177,173.609192,933.371582,380.291473,192.794907,780.958679,323.030548,238.142609,796.273682,240.796951,146.058090,776.146240,206.145035,51.579239,724.911560,188.697968,41.270836,784.219055,162.637314,-45.012543,758.009399,273.467834,-241.854477,1074.514404,258.027771,-286.927460,882.687561,262.188995,-236.547546,736.200012,225.523544,-296.453674,755.676758,121.999352,-248.470978,781.940247,3.822917,-225.054199,751.610107,14.362638,-161.544678,767.954102,-70.155769,-167.548767,787.756165,329.579163,-83.396370,1134.630371,225.841125,-83.524368,1084.093750,189.857590,-85.764725,967.366638
3,0,272.499207,69.226212,1082.660522,295.553009,173.599625,933.376404,380.300476,192.777603,780.942322,323.049866,238.136078,796.281921,240.800949,146.053177,776.179260,206.165192,51.576077,724.926514,188.700027,41.314865,784.171265,162.659241,-45.039585,758.038147,273.447052,-241.845993,1074.531006,258.015747,-286.928406,882.714539,262.192780,-236.565063,736.225525,225.520798,-296.461517,755.697510,122.005676,-248.467133,781.953308,3.821283,-225.057281,751.615295,14.370646,-161.548187,767.969421,-70.156525,-167.549316,787.760315,329.544708,-83.383171,1134.646118,225.839218,-83.509888,1084.113892,189.844437,-85.770615,967.391846
4,0,272.493317,69.234062,1082.655273,295.590363,173.581848,933.381592,380.333069,192.768326,780.935608,323.072235,238.137100,796.272278,240.833466,146.000397,776.171021,206.157364,51.590557,724.945923,188.745773,41.276821,784.220764,162.669159,-45.064373,758.060852,273.426239,-241.840027,1074.535400,257.997681,-286.933228,882.724976,262.192627,-236.554642,736.228516,225.521957,-296.459015,755.701416,122.001823,-248.464935,781.954285,3.823055,-225.062012,751.606812,14.359431,-161.547394,767.972656,-70.181320,-167.434158,787.666870,329.541443,-83.402428,1134.658081,225.821884,-83.505821,1084.110596,189.828552,-85.782898,967.393188
5,0,272.476715,69.240364,1082.644409,295.606628,173.540176,933.380798,380.309906,192.738571,780.940491,323.088501,238.140167,796.276123,240.899750,145.839096,776.144836,206.154358,51.613808,724.950256,188.750076,41.262890,784.221924,162.658508,-45.040188,758.063049,273.411163,-241.832489,1074.557373,257.978455,-286.927795,882.741882,262.168060,-236.538330,736.253174,225.518997,-296.464996,755.720581,121.993385,-248.457565,781.965576,3.822244,-225.064911,751.623779,14.374584,-161.585632,767.965698,-70.181961,-167.433365,787.678345,329.508301,-83.374374,1134.668579,225.807114,-83.501511,1084.109497,189.807495,-85.766670,967.397461
6,0,272.448151,69.247375,1082.632446,295.608307,173.540909,933.356262,380.311340,192.751572,780.976013,323.102966,238.138794,796.270691,240.884918,145.910828,776.148438,206.153748,51.623455,724.931091,188.744034,41.260109,784.203369,162.661560,-45.053555,758.068359,273.384644,-241.814865,1074.554688,257.944275,-286.924286,882.743896,262.142761,-236.521362,736.260132,225.509415,-296.469025,755.721252,121.978706,-248.462585,781.962585,3.813424,-225.057999,751.605164,14.385950,-161.635971,767.941833,-70.177742,-167.535034,787.739258,329.478302,-83.343208,1134.675293,225.797882,-83.503166,1084.102661,189.780151,-85.762573,967.377930
7,0,272.440491,69.258842,1082.619873,295.632874,173.521896,933.354370,380.294891,192.727356,780.956055,323.138916,238.124802,796.255371,240.842804,146.087616,776.182190,206.180618,51.564114,724.902222,188.739456,41.253319,784.178162,162.706268,-45.039810,758.050598,273.356567,-241.798340,1074.563965,257.933929,-286.927887,882.765747,262.127258,-236.516388,736.274048,225.504150,-296.478058,755.744751,121.957466,-248.466248,781.966370,3.818537,-225.054642,751.614197,14.389028,-161.658295,767.935242,-70.196114,-167.513962,787.745972,329.463440,-83.339882,1134.683472,225.765854,-83.443047,1084.091797,189.742126,-85.729706,967.367737
8,0,272.423828,69.274307,1082.617676,295.652618,173.486771,933.349609,380.285156,192.726990,780.977539,323.165649,238.117172,796.257202,240.882355,146.037354,776.162292,206.229233,51.531139,724.910156,188.785995,41.214996,784.239685,162.703400,-45.022484,758.044067,273.345856,-241.792877,1074.574097,257.923553,-286.938293,882.777893,262.114807,-236.533554,736.296326,225.493027,-296.495483,755.756348,121.944450,-248.475159,781.975586,3.811624,-225.057632,751.614136,14.419568,-161.715179,767.929260,-70.205406,-167.497650,787.741699,329.425964,-83.318626,1134.683350,225.773407,-83.458023,1084.111206,189.723984,-85.727051,967.369385
9,0,272.413422,69.281738,1082.608398,295.641388,173.479919,933.327209,380.279510,192.713501,780.980652,323.175568,238.109482,796.252747,240.933609,145.959152,776.112244,206.218124,51.539444,724.882324,188.796997,41.197163,784.250366,162.686081,-44.995125,758.037903,273.323578,-241.792206,1074.582397,257.907471,-286.953613,882.781982,262.099091,-236.537689,736.304565,225.485626,-296.517426,755.764709,121.935104,-248.485657,781.970276,3.811723,-225.073013,751.613403,14.416592,-161.764420,767.909729,-70.210609,-167.484314,787.722107,329.406097,-83.302933,1134.687012,225.775482,-83.466324,1084.098389,189.705856,-85.718849,967.354614
10,0,272.400482,69.290726,1082.609375,295.633331,173.473862,933.317688,380.268738,192.693207,780.977844,323.201813,238.105927,796.261108,240.981644,145.798920,776.077759,206.219177,51.588852,724.911011,188.701935,41.262680,784.277100,162.706161,-45.006393,758.041687,273.306488,-241.783340,1074.604248,257.896973,-286.968628,882.815369,262.092438,-236.594070,736.336975,225.481003,-296.546539,755.784790,121.917427,-248.496414,781.981140,3.811662,-225.089600,751.632263,14.432824,-161.808304,767.911682,-70.225479,-167.476105,787.730103,329.393768,-83.295570,1134.691162,225.766830,-83.459305,1084.097900,189.677170,-85.695488,967.366150
11,0,272.373962,69.301163,1082.598633,295.599884,173.496964,933.311951,380.230042,192.674515,780.978760,323.216034,238.102402,796.239868,240.896484,146.092148,776.128540,206.199860,51.598278,724.918213,188.731964,41.249847,784.251648,162.701660,-45.010551,758.061035,273.280121,-241.779739,1074.611206,257.882538,-286.975739,882.817383,262.078552,-236.603989,736.327576,225.472458,-296.566223,755.801453,121.893379,-248.510651,781.985413,3.806922,-225.094437,751.632935,14.425905,-161.821884,767.896484,-70.236252,-167.472382,787.722473,329.361786,-83.263245,1134.690796,225.744232,-83.441017,1084.080933,189.665131,-85.681023,967.354309
