Trajectories
100
,,ValidationHealthy005:Rdeltoid,,,ValidationHealthy005:RMidArm,,,ValidationHealthy005:RElbRadial,,,ValidationHealthy005:RElbUlna,,,ValidationHealthy005:RMidForeArm,,,ValidationHealthy005:RWrist1,,,ValidationHealthy005:RWrist2,,,ValidationHealthy005:RFingerJoint,,,ValidationHealthy005:LDeltoid,,,ValidationHealthy005:LMidArm,,,ValidationHealthy005:LElbRadial,,,ValidationHealthy005:LElbUlna,,,ValidationHealthy005:LMidForearm,,,ValidationHealthy005:Lwrist1,,,ValidationHealthy005:LWrist2,,,ValidationHealthy005:LFingerJoint,,,ValidationHealthy005:C7,,,ValidationHealthy005:Neck,,,ValidationHealthy005:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,204.757492,135.452637,1085.487305,162.376694,281.387451,940.181091,216.598633,319.933868,815.496643,152.245514,327.187469,853.977600,106.639946,223.337234,799.002808,106.082375,131.031952,741.404724,106.384407,112.018715,806.215027,87.643410,41.820950,777.174744,234.761200,-135.075195,1090.116455,186.788971,-246.935898,952.417847,188.444138,-274.368347,804.589294,163.110687,-301.609467,863.004272,50.136333,-240.822418,830.384827,-28.745035,-232.085266,754.740662,-20.647888,-167.754333,780.629028,-95.139885,-171.628555,783.968689,283.644653,17.192375,1085.533325,155.113739,9.048866,1050.443237,146.758163,-1.430435,964.808105
2,0,204.765182,135.441010,1085.516479,162.378815,281.414520,940.216003,216.571228,319.926270,815.536743,152.201767,327.183258,854.009277,106.593437,223.330734,799.027771,106.036201,131.039154,741.433472,106.359978,112.017349,806.255798,87.601303,41.831333,777.211792,234.749863,-135.094620,1090.124756,186.769791,-246.958023,952.424683,188.418472,-274.381073,804.591492,163.093887,-301.627777,863.014893,50.137115,-240.838409,830.390381,-28.782240,-231.365372,754.161804,-20.654400,-167.751205,780.633362,-95.142487,-171.631653,783.973694,283.657745,17.177736,1085.540405,155.107254,9.068810,1050.475342,146.739166,-1.432296,964.856812
3,0,204.759308,135.426117,1085.530029,162.352448,281.386292,940.232910,216.551697,319.911865,815.568542,152.180008,327.192322,854.051941,106.555603,223.346024,799.058960,105.998024,131.074585,741.432556,106.312683,112.006882,806.290039,87.549805,41.839085,777.241943,234.744171,-135.128967,1090.132324,186.752731,-246.974564,952.431580,188.425323,-274.420197,804.601563,163.081467,-301.640320,863.022827,50.117821,-240.831833,830.388428,-28.755987,-232.099258,754.743530,-20.648874,-167.755310,780.634644,-95.221191,-172.253342,784.216431,283.657288,17.152332,1085.537109,155.106293,9.065194,1050.485474,146.723831,-1.446492,964.873230
4,0,204.744522,135.422607,1085.545044,162.888947,282.187378,940.903809,216.515671,319.906982,815.594299,152.147217,327.187134,854.093323,106.516922,223.358475,799.104919,105.982346,131.081619,741.462463,106.277939,112.015274,806.313232,87.494072,41.872723,777.265930,234.742004,-135.145859,1090.151001,186.737106,-247.000092,952.439697,188.411606,-274.432648,804.603027,163.061340,-301.656738,863.022156,50.110931,-240.838959,830.389771,-28.787752,-231.381454,754.159363,-20.656055,-167.753250,780.627808,-95.148972,-171.643906,783.980469,283.860504,17.392679,1086.191528,155.121292,9.070606,1050.498657,146.706528,-1.447539,964.890442
5,0,204.738785,135.383972,1085.571167,162.326904,281.395752,940.348511,216.490234,319.889771,815.638489,152.123978,327.167145,854.126526,106.477936,223.340271,799.143250,105.892136,131.058807,741.536133,106.222908,112.001999,806.334167,87.438988,41.880615,777.294495,234.729263,-135.177704,1090.164917,186.712585,-247.022034,952.435730,188.397736,-274.453827,804.648865,163.038391,-301.662567,863.002930,50.100468,-240.850708,830.383179,-28.799055,-231.387482,754.146729,-20.671072,-167.779404,780.618042,-95.171043,-171.640457,783.969910,283.672302,17.147451,1085.592407,155.134399,8.991938,1050.476807,146.664688,-1.453705,964.918945
6,0,204.733032,135.353638,1085.596558,162.337402,281.404053,940.424316,216.456940,319.879425,815.678406,152.097809,327.165222,854.186279,106.437706,223.329544,799.197083,105.817848,131.056747,741.607727,106.171432,112.033379,806.359009,87.359039,41.929989,777.320923,234.721329,-135.204437,1090.182251,186.687210,-247.038498,952.446838,188.370346,-274.463287,804.661194,163.017410,-301.676666,862.996338,50.074711,-240.845947,830.372559,-28.803684,-231.386520,754.140259,-20.669672,-167.797775,780.604980,-95.173241,-171.634552,783.970154,283.659454,17.170019,1085.617310,155.138992,8.969327,1050.487793,146.639725,-1.448947,964.942627
7,0,204.733673,135.321945,1085.649414,162.357849,281.459595,940.507080,216.414368,319.866547,815.726074,152.073288,327.165161,854.264587,106.396988,223.323685,799.264465,105.756462,131.087921,741.672119,106.097015,112.020851,806.433655,87.312347,41.969624,777.372986,234.708771,-135.229538,1090.197754,186.673737,-247.063950,952.472290,188.342697,-274.467712,804.670776,163.007187,-301.696777,863.011780,50.042549,-240.841583,830.380554,-28.812380,-231.397675,754.148743,-20.672367,-167.838211,780.610168,-95.179634,-171.625595,783.972656,283.662201,17.180771,1085.647705,155.158051,8.942283,1050.520020,146.607391,-1.437973,964.985474
8,0,204.714966,135.315125,1085.687988,162.348434,281.474609,940.607910,216.374146,319.853760,815.778870,152.016006,327.143799,854.322021,106.337128,223.332550,799.318542,105.705093,131.058395,741.747559,106.065727,112.003891,806.487854,87.250542,41.965290,777.417786,234.701736,-135.263397,1090.213989,186.646011,-247.077621,952.487610,188.327942,-274.492035,804.709412,162.995499,-301.715454,863.008240,50.025108,-240.857025,830.392883,-28.797792,-231.970627,754.607117,-20.657434,-167.855225,780.611633,-95.250008,-172.145782,784.179504,283.666595,17.218956,1085.680298,155.169739,8.944372,1050.540161,146.550262,-1.458089,965.027100
9,0,204.708542,135.277496,1085.726563,162.357117,281.473633,940.673035,216.328796,319.851990,815.834167,151.966980,327.125824,854.377014,106.284691,223.339142,799.382263,105.676521,131.119934,741.843689,106.041885,112.023750,806.543945,87.189903,41.999763,777.472229,234.689728,-135.287674,1090.238647,186.615936,-247.098343,952.508301,188.315399,-274.505585,804.736145,162.969391,-301.723145,863.022034,50.003166,-240.861115,830.400818,-28.814837,-231.399307,754.157837,-20.660414,-167.862183,780.604858,-95.233330,-171.952759,784.116516,283.670471,17.224836,1085.714722,155.201019,8.925809,1050.552368,146.542557,-1.458486,965.070068
10,0,204.697601,135.249771,1085.770752,162.305603,281.479980,940.741699,216.256516,319.857147,815.887512,151.886215,327.086761,854.415771,106.225922,223.306686,799.424805,105.638412,131.140076,741.931702,106.016853,112.021126,806.574890,87.144356,41.986706,777.488708,234.726669,-135.273636,1090.155884,186.589279,-247.099655,952.503418,188.334122,-274.561584,804.771545,162.948044,-301.726105,863.007080,49.990711,-240.863617,830.388794,-28.830072,-231.914841,754.533752,-20.660982,-167.884460,780.591248,-95.256218,-172.090088,784.158081,283.674255,17.212048,1085.756104,155.200104,8.935722,1050.557251,146.476700,-1.468967,965.085327
11,0,204.692963,135.264191,1085.792358,162.210800,281.426300,940.788635,216.210632,319.866241,815.943970,151.809555,327.090149,854.471558,106.166946,223.333694,799.479797,105.607658,131.153320,741.988342,105.962379,112.031242,806.623718,87.082474,42.017410,777.531982,234.670395,-135.336685,1090.257324,186.557602,-247.097458,952.507751,188.303665,-274.557007,804.782532,162.929230,-301.724518,863.003479,49.973320,-240.844589,830.389954,-28.825056,-231.406662,754.145874,-20.674343,-167.908859,780.578064,-95.204994,-171.634216,783.987061,283.655792,17.243210,1085.740967,155.221329,8.933182,1050.575073,146.445831,-1.451970,965.116272
12,0,204.678543,135.236725,1085.837891,162.201675,281.408295,940.849243,216.145493,319.866913,815.999084,151.749191,327.061371,854.536926,106.123207,223.325333,799.539063,105.536697,131.118393,742.013916,105.887901,111.992737,806.661987,87.011345,42.076416,777.575623,234.655975,-135.356979,1090.272095,186.552185,-247.134109,952.518494,188.298157,-274.563751,804.795593,162.914505,-301.731201,862.996948,49.950924,-240.846832,830.388611,-28.814833,-231.844421,754.492188,-20.673491,-167.924744,780.578613,-95.268669,-172.047501,784.158997,283.673035,17.233431,1085.765381,155.219772,8.915267,1050.609375,146.403702,-1.489488,965.180359
13,0,204.668213,135.210938,1085.866455,162.164474,281.421570,940.914551,216.084900,319.867523,816.061951,151.642349,327.028259,854.593628,106.071938,223.318512,799.611267,105.483871,131.147339,742.090027,105.780937,111.976852,806.726990,86.972038,42.088745,777.610229,234.657272,-135.385895,1090.291626,186.537857,-247.156189,952.516602,188.288834,-274.568176,804.797302,162.911133,-301.748260,862.984253,49.927483,-240.851349,830.394714,-28.827610,-231.828293,754.466309,-20.686249,-167.940659,780.575134,-95.257423,-172.027512,784.146912,283.666962,17.216206,1085.783813,155.243362,8.888312,1050.619629,146.373413,-1.494366,965.221924
14,0,204.654434,135.169098,1085.928711,162.090347,281.356079,940.980347,216.017227,319.863220,816.120178,151.578674,326.996216,854.642151,105.990959,223.257248,799.664917,105.423622,131.189575,742.174622,105.711700,111.953506,806.760315,86.918175,42.094151,777.651306,234.656219,-135.431427,1090.306030,186.530731,-247.182373,952.512939,188.273010,-274.547974,804.801880,162.908875,-301.754669,862.972412,49.919399,-240.835236,830.380005,-28.838022,-231.806702,754.439453,-20.679190,-167.945435,780.574036,-95.263046,-172.009216,784.148682,283.670258,17.215147,1085.804077,155.250397,8.814857,1050.618530,146.312515,-1.529543,965.269714
15,0,204.651199,135.104492,1085.979370,161.954117,281.297516,940.983032,215.941330,319.866364,816.176086,151.501556,326.966736,854.701843,105.930573,223.259933,799.718445,105.318741,131.121643,742.223022,105.663811,111.896378,806.793274,86.854813,42.089176,777.670105,234.658676,-135.462372,1090.310059,186.514389,-247.203079,952.507568,188.234314,-274.519348,804.773254,162.897491,-301.771271,862.959412,49.915764,-240.846313,830.376099,-28.850182,-231.832214,754.449402,-20.669985,-167.956619,780.568848,-95.279167,-172.008026,784.146729,283.820221,17.315248,1086.278931,155.257919,8.794662,1050.617676,146.282532,-1.548847,965.320129
