Trajectories
100
,,ValidationHealthy005:Rdeltoid,,,ValidationHealthy005:RMidArm,,,ValidationHealthy005:RElbRadial,,,ValidationHealthy005:RElbUlna,,,ValidationHealthy005:RMidForeArm,,,ValidationHealthy005:RWrist1,,,ValidationHealthy005:RWrist2,,,ValidationHealthy005:RFingerJoint,,,ValidationHealthy005:LDeltoid,,,ValidationHealthy005:LMidArm,,,ValidationHealthy005:LElbRadial,,,ValidationHealthy005:LElbUlna,,,ValidationHealthy005:LMidForearm,,,ValidationHealthy005:Lwrist1,,,ValidationHealthy005:LWrist2,,,ValidationHealthy005:LFingerJoint,,,ValidationHealthy005:C7,,,ValidationHealthy005:Neck,,,ValidationHealthy005:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,210.362152,130.018570,1080.387085,165.270248,271.806458,933.150330,219.072952,310.196228,807.652649,152.758850,316.363708,846.778503,111.194984,210.886337,791.667053,112.802002,118.561485,732.230286,117.241104,99.500725,797.099854,93.712967,30.633362,770.994690,243.272919,-148.022766,1081.419556,193.905533,-253.746353,939.997986,191.865067,-275.103058,791.248291,168.219788,-304.784973,849.158386,53.923172,-243.283112,823.944397,-28.099377,-231.177536,752.111694,-18.726725,-169.360275,779.798523,-93.797958,-171.723831,786.413513,290.890961,7.977194,1083.298584,161.765381,-2.529801,1048.487183,152.645081,-9.967316,959.206421
2,0,210.370697,130.023483,1080.380005,165.275879,271.775635,933.115906,218.691101,312.715363,807.975342,152.796722,316.361206,846.750732,111.201897,210.852493,791.650635,112.826935,118.547478,732.208008,117.273705,99.481934,797.091309,93.736511,30.604485,770.991821,243.258041,-148.010742,1081.423462,193.898102,-253.745651,940.008545,191.872498,-275.117401,791.278320,168.221054,-304.791840,849.171936,53.914787,-243.285980,823.947510,-28.112741,-231.179276,752.103638,-18.721037,-169.367859,779.807678,-93.808121,-171.716171,786.415466,290.880310,7.950884,1083.296143,161.762344,-2.523082,1048.474487,152.651794,-9.960426,959.197937
3,0,210.369675,130.041946,1080.376465,165.309586,271.806702,933.107971,218.749390,312.720215,807.955017,152.832184,316.356689,846.729736,111.219948,210.854309,791.629089,112.853973,118.562012,732.186462,117.294937,99.507675,797.079834,93.760368,30.597530,770.986511,243.099335,-148.276535,1081.486694,193.889191,-253.738968,940.018677,191.846985,-275.112183,791.271912,168.213150,-304.791718,849.179504,53.911537,-243.276794,823.946472,-28.101355,-231.189850,752.114136,-18.725061,-169.346146,779.806274,-93.796600,-171.706284,786.419800,290.809204,8.290522,1083.147339,161.755157,-2.525307,1048.464966,152.667160,-9.948786,959.189392
4,0,210.377213,130.032272,1080.357788,165.324707,271.786377,933.086487,219.162354,310.145020,807.581421,152.858398,316.338654,846.695496,111.243744,210.828766,791.605103,112.860207,118.528870,732.165100,117.295677,99.482056,797.060730,93.787056,30.571442,770.959778,243.083954,-148.287857,1081.495239,193.878860,-253.733612,940.013916,191.867355,-275.128448,791.301758,168.210022,-304.780975,849.173401,53.916595,-243.289474,823.951172,-28.106245,-231.182953,752.102661,-18.733788,-169.324356,779.799988,-93.798386,-171.720352,786.408752,290.853760,7.932618,1083.271240,161.751816,-2.535187,1048.448975,152.659775,-9.948093,959.173767
5,0,210.375595,130.038376,1080.340942,165.351120,271.737274,933.035034,219.069809,310.303253,807.592468,152.894180,316.348206,846.675903,111.264549,210.808640,791.577209,112.891296,118.503609,732.175415,117.318176,99.484329,797.046814,93.823250,30.565079,770.941040,243.094086,-148.224777,1081.486450,193.873596,-253.722931,940.015808,191.835800,-275.100220,791.290649,168.204437,-304.765198,849.163574,53.904881,-243.280090,823.944275,-28.099802,-231.190094,752.109619,-18.737291,-169.331177,779.785583,-93.812042,-171.703781,786.407959,290.833984,8.005921,1083.256104,161.751785,-2.516126,1048.433960,152.651062,-9.934294,959.171997
6,0,210.371689,130.040375,1080.335327,165.374008,271.778046,933.061829,218.985489,310.458588,807.609497,152.925308,316.326630,846.653625,111.290115,210.801254,791.562195,112.898552,118.515205,732.182190,117.329140,99.453308,797.019409,93.866127,30.565205,770.905151,243.083832,-148.205521,1081.485840,193.863831,-253.721649,940.025391,191.846039,-275.097107,791.321411,168.198578,-304.753601,849.149780,53.890282,-243.285385,823.947144,-28.101686,-231.198135,752.112061,-18.738159,-169.339249,779.774841,-93.811905,-171.704544,786.409973,290.814117,8.051113,1083.290283,161.745010,-2.502404,1048.445068,152.665070,-9.901663,959.158569
7,0,210.384750,130.057037,1080.325195,165.421051,271.832275,933.073669,219.019363,310.419464,807.578064,152.960052,316.324219,846.632874,111.325546,210.787308,791.541077,112.960297,118.533043,732.149780,117.347252,99.441132,796.988647,93.891930,30.528872,770.873352,243.195602,-147.977386,1081.450073,193.853210,-253.722549,940.023987,191.845047,-275.105621,791.341003,168.194824,-304.734863,849.132202,53.872322,-243.273132,823.949585,-28.105406,-231.195084,752.100159,-18.746492,-169.381607,779.782104,-93.823685,-171.700333,786.414185,290.796234,8.128330,1083.274536,161.741776,-2.489765,1048.432007,152.661270,-9.869021,959.148438
8,0,210.377487,130.066315,1080.339355,165.422668,271.866760,933.077087,219.073669,310.393097,807.575562,153.003601,316.337646,846.633362,111.364380,210.791245,791.534485,112.956543,118.516861,732.163940,117.323631,99.451408,797.006897,93.934204,30.544731,770.856628,243.067169,-148.194382,1081.514160,193.846878,-253.719894,940.036438,191.836273,-275.087433,791.356445,168.199265,-304.731110,849.129395,53.856201,-243.250931,823.951782,-28.107176,-231.209625,752.117920,-18.744314,-169.375702,779.781372,-93.839233,-171.690826,786.415588,290.765381,8.106217,1083.296753,161.741806,-2.484765,1048.427979,152.656921,-9.856421,959.161560
9,0,210.362030,130.059891,1080.338135,165.427383,271.888916,933.073853,219.122864,310.342773,807.570251,153.018478,316.333923,846.615601,111.382439,210.777206,791.523743,113.014885,118.533676,732.169373,117.370316,99.437683,796.991882,93.964622,30.555508,770.831604,243.044861,-148.168808,1081.513794,193.838654,-253.705673,940.039063,191.836746,-275.081573,791.376953,168.193268,-304.721100,849.123291,53.848831,-243.239105,823.942932,-28.115187,-231.205719,752.113770,-18.742702,-169.386505,779.774902,-93.845451,-171.697296,786.414978,290.716034,8.453883,1083.202759,161.737122,-2.473942,1048.432617,152.647858,-9.847449,959.133423
10,0,210.358994,130.077148,1080.324219,165.463242,271.882751,933.058105,219.146271,310.364105,807.558105,153.038696,316.345886,846.604370,111.400467,210.806381,791.514282,113.019981,118.534325,732.183472,117.382393,99.430092,796.986877,93.998589,30.551203,770.811707,243.149399,-147.968674,1081.482178,193.840256,-253.694000,940.038879,191.804672,-275.044250,791.346069,168.194382,-304.697815,849.111450,53.838551,-243.224487,823.954834,-28.116383,-231.215286,752.125549,-18.749643,-169.377731,779.761230,-93.854652,-171.684448,786.411133,290.741119,8.211743,1083.306030,161.737869,-2.459952,1048.409424,152.624588,-9.813025,959.155518
11,0,210.347549,130.086212,1080.308105,165.446426,271.909698,933.066345,219.185638,310.334473,807.559692,153.053024,316.347137,846.592346,111.421585,210.790344,791.495178,113.048027,118.508522,732.199829,117.394646,99.412109,796.972717,94.035202,30.554832,770.795227,243.125031,-147.959564,1081.473755,193.834839,-253.693344,940.016663,191.804398,-275.037811,791.361084,168.187881,-304.672394,849.081421,53.825581,-243.220825,823.935730,-28.116861,-231.214218,752.118469,-18.754948,-169.383026,779.751404,-93.859398,-171.669540,786.398071,290.697021,8.264775,1083.263550,161.736679,-2.466206,1048.399048,152.605179,-9.807876,959.144043
12,0,210.347534,130.079712,1080.293579,165.452667,271.896301,933.075317,219.231552,310.284119,807.540405,153.069153,316.354919,846.584839,111.442253,210.796631,791.485718,113.067398,118.519127,732.173523,117.390015,99.394272,796.951172,94.064125,30.552822,770.768921,243.016968,-148.102890,1081.499512,193.830490,-253.679749,940.001160,191.828888,-275.037415,791.392334,168.183823,-304.661255,849.055725,53.805855,-243.199112,823.921997,-28.127340,-231.213089,752.101929,-18.764097,-169.385483,779.731567,-93.873383,-171.660126,786.387268,290.679169,8.305236,1083.261108,161.726349,-2.472511,1048.376465,152.586472,-9.825698,959.106934
13,0,210.341217,130.073135,1080.291382,165.472870,271.930115,933.078430,219.246506,310.282745,807.545166,153.076202,316.360809,846.596130,111.455887,210.818161,791.504211,113.076805,118.509880,732.210388,117.438271,99.400902,796.937683,94.098015,30.561245,770.763611,243.006287,-148.092621,1081.510376,193.812469,-253.679596,940.010254,191.807083,-275.018066,791.380615,168.190536,-304.658508,849.041077,53.800602,-243.202728,823.923279,-28.127487,-231.219940,752.111816,-18.763264,-169.383057,779.739624,-93.880089,-171.655975,786.396362,290.678040,8.328514,1083.267700,161.725800,-2.447545,1048.378418,152.560715,-9.809182,959.119141
