Trajectories
100
,,ValidationHealthy016:Rdeltoid,,,ValidationHealthy016:RMidArm,,,ValidationHealthy016:RElbRadial,,,ValidationHealthy016:RElbUlna,,,ValidationHealthy016:RMidForeArm,,,ValidationHealthy016:RWrist1,,,ValidationHealthy016:RWrist2,,,ValidationHealthy016:RFingerJoint,,,ValidationHealthy016:LDeltoid,,,ValidationHealthy016:LMidArm,,,ValidationHealthy016:LElbRadial,,,ValidationHealthy016:LElbUlna,,,ValidationHealthy016:LMidForearm,,,ValidationHealthy016:Lwrist1,,,ValidationHealthy016:LWrist2,,,ValidationHealthy016:LFingerJoint,,,ValidationHealthy016:C7,,,ValidationHealthy016:Neck,,,ValidationHealthy016:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,516.045715,232.353073,1098.245728,471.598999,376.145721,932.228088,479.427673,384.170990,747.132263,409.639038,428.472961,809.032776,328.420532,278.876923,754.913818,306.491974,162.287094,727.240845,329.065338,147.710632,802.902832,309.033752,60.048225,770.688965,561.102112,-136.412964,1069.446655,464.877960,-231.338013,906.511292,386.656128,-202.104218,736.258301,375.977692,-257.348114,793.756653,219.406128,-230.163132,805.289551,95.785141,-209.805237,762.470093,111.135208,-133.261505,789.491516,5.435555,-140.800797,802.763611,640.287964,40.795944,1123.003296,478.845337,50.597950,1064.283447,446.685944,42.398502,993.523987
2,0,516.073364,232.334961,1098.244385,471.594666,376.145599,932.234131,479.430511,384.166534,747.125916,409.659210,428.477386,809.038086,328.429626,278.890869,754.925659,306.490326,162.299393,727.247803,329.094757,147.725891,802.919495,309.027985,60.076633,770.707825,561.102112,-136.412140,1069.421021,464.905487,-231.355072,906.468811,386.657562,-202.083374,736.251160,375.982513,-257.346344,793.739624,219.405350,-230.159561,805.270569,95.780510,-209.810104,762.466492,111.120583,-133.253418,789.488281,5.418944,-140.804138,802.765503,640.296143,40.778488,1122.993896,478.840393,50.616478,1064.265747,446.705627,42.426277,993.491211
3,0,516.076111,232.296661,1098.215942,471.605286,376.142365,932.239319,479.436737,384.181183,747.136658,409.656311,428.481415,809.048096,328.441254,278.883240,754.949402,306.492371,162.303604,727.278198,329.115662,147.723618,802.932129,309.032623,60.069527,770.723206,561.093140,-136.412323,1069.400269,464.913940,-231.367386,906.436340,386.633789,-202.082382,736.232605,375.980896,-257.328766,793.688965,219.396194,-230.153503,805.250488,95.767159,-209.823761,762.450378,111.102417,-133.284897,789.494202,5.399656,-140.834839,802.773560,640.291077,40.773472,1122.985962,478.818359,50.654606,1064.243774,446.709381,42.439426,993.462158
4,0,516.074036,232.288803,1098.202271,471.619232,376.143524,932.239746,479.448822,384.189636,747.146667,409.670868,428.474030,809.050232,328.455872,278.896912,754.965454,306.500610,162.304260,727.291443,329.133728,147.756027,802.961731,309.033325,60.077793,770.753235,561.080017,-136.416306,1069.371094,464.912384,-231.371323,906.404785,386.580444,-202.077560,736.228821,375.967224,-257.313446,793.656189,219.386810,-230.156174,805.250122,95.763130,-209.826080,762.456848,111.080437,-133.310028,789.514221,5.387806,-140.864151,802.790039,640.286072,40.762794,1122.979858,478.827972,50.654236,1064.200928,446.718719,42.469147,993.436707
5,0,516.089417,232.252472,1098.182007,471.644379,376.145905,932.244080,479.449982,384.177338,747.128906,409.695923,428.477448,809.053467,328.462677,278.890564,754.984558,306.509094,162.287598,727.293152,329.130463,147.741928,802.964722,309.015472,60.090881,770.769775,561.072510,-136.413712,1069.337280,464.886047,-231.359650,906.370850,386.653656,-202.032669,736.196106,375.956757,-257.317261,793.630798,219.377365,-230.152100,805.234436,95.752853,-209.846222,762.453979,111.064812,-133.328125,789.525513,5.367153,-140.897980,802.801086,640.275757,40.756538,1122.983887,478.812531,50.622597,1064.183105,446.743225,42.465935,993.402161
6,0,516.090149,232.238480,1098.183960,471.645813,376.138611,932.232056,479.436707,384.144653,747.104370,409.710999,428.475769,809.049377,328.468781,278.876373,755.004150,306.501801,162.292084,727.302917,329.118317,147.734879,802.973450,309.020020,60.091610,770.780762,561.072388,-136.413742,1069.307251,464.862366,-231.342102,906.346069,386.594360,-202.013641,736.177246,375.945007,-257.315308,793.605652,219.359436,-230.144867,805.216553,95.745728,-209.849274,762.452637,111.047295,-133.324768,789.510254,5.356200,-140.898117,802.804565,640.259949,40.767757,1122.994629,478.806427,50.594917,1064.177734,446.747955,42.450615,993.383362
7,0,516.094238,232.222076,1098.168335,471.666840,376.160187,932.247620,479.433502,384.128845,747.084045,409.737396,428.488525,809.040588,328.487518,278.915649,755.011475,306.506805,162.294525,727.300964,329.105072,147.791626,802.997742,309.002014,60.121780,770.793762,561.069519,-136.416321,1069.283203,464.835083,-231.294144,906.298401,386.684662,-202.020660,736.139465,375.954285,-257.321198,793.588684,219.352951,-230.123596,805.186584,95.744820,-209.841507,762.465332,111.051048,-133.311676,789.513672,5.369260,-140.884811,802.804810,640.238098,40.766712,1122.986938,478.830231,50.590759,1064.172974,446.790710,42.470627,993.360046
8,0,516.116150,232.193832,1098.156128,471.679626,376.150848,932.213440,479.443665,384.087799,747.043030,409.772675,428.482910,809.013855,328.492493,278.910461,754.987183,306.498688,162.304169,727.291260,329.107666,147.818985,802.989807,308.989105,60.135014,770.782410,561.082947,-136.414185,1069.243530,464.817444,-231.277603,906.265015,386.459717,-201.405701,736.390137,375.957977,-257.319000,793.538330,219.344604,-230.110641,805.136169,95.752274,-209.830917,762.462830,111.063858,-133.300949,789.489929,5.389114,-140.854889,802.788696,640.219788,40.787189,1122.976929,478.842987,50.561588,1064.119873,446.784698,42.481888,993.319885
9,0,516.107544,232.165802,1098.111572,471.687683,376.142731,932.182617,479.444458,384.041687,747.001160,409.803406,428.482819,808.971497,328.525146,278.907837,754.943787,306.519806,162.267426,727.254883,329.131287,147.809982,802.953369,308.969604,60.167007,770.753723,561.091309,-136.409622,1069.213745,464.808716,-231.234695,906.201416,386.436432,-201.421585,736.344238,375.973602,-257.316162,793.507629,219.358780,-230.105820,805.104919,95.755051,-209.820160,762.469604,111.073524,-133.288284,789.473389,5.385662,-140.822632,802.777344,640.210999,40.783848,1122.978638,478.811829,50.538387,1064.091553,446.809692,42.497734,993.288757
10,0,516.119873,232.117874,1098.076294,471.711273,376.114960,932.147339,479.463287,384.019623,746.967773,409.835266,428.467102,808.937439,328.549561,278.883789,754.905396,306.520264,162.254089,727.198303,329.124176,147.823654,802.944885,308.962921,60.180374,770.738098,561.086426,-136.399017,1069.167480,464.818665,-231.222763,906.146729,386.500671,-201.370880,736.307190,375.987976,-257.312622,793.456116,219.372559,-230.103745,805.077820,95.760063,-209.811722,762.461060,111.067612,-133.270218,789.460083,5.404385,-140.813934,802.766357,640.196106,40.788776,1122.979980,478.815521,50.558334,1064.032715,446.768433,42.479225,993.255127
11,0,516.132507,232.055405,1098.051758,471.735443,376.106873,932.113159,479.496796,383.990601,746.946777,409.885406,428.463043,808.889954,328.566589,278.895233,754.871887,306.560059,162.247864,727.174316,329.163818,147.838379,802.911987,308.973663,60.192997,770.720398,561.089844,-136.402008,1069.131592,464.852112,-231.209747,906.089478,386.455841,-201.418686,736.279358,376.006989,-257.298828,793.414246,219.401459,-230.084412,805.050049,95.764931,-209.810364,762.457520,111.097427,-133.284088,789.449890,5.414916,-140.827484,802.769714,640.161377,40.799252,1122.985840,478.781311,50.563782,1064.023071,446.743439,42.443108,993.235779
12,0,516.131226,232.034576,1098.015625,471.755432,376.109924,932.098389,479.511047,383.953949,746.914368,409.913544,428.455505,808.857178,328.602783,278.888367,754.829529,306.591156,162.230423,727.130249,329.187683,147.852692,802.877686,309.000488,60.186245,770.688904,561.100037,-136.404068,1069.116577,464.892761,-231.200226,906.036621,386.503510,-201.327789,736.231201,376.029510,-257.289490,793.373718,219.422867,-230.062958,805.024292,95.776718,-209.810562,762.457825,111.101837,-133.279831,789.455200,5.411990,-140.837112,802.777832,640.144409,40.785580,1122.980591,478.768250,50.579330,1064.028442,446.744507,42.450729,993.204346
13,0,516.103882,232.049881,1098.003052,471.778412,376.108459,932.082886,479.542480,383.923279,746.876221,409.940277,428.472382,808.826782,328.646606,278.885681,754.763428,306.644745,162.236984,727.070801,329.195984,147.860245,802.828369,309.007416,60.216270,770.640503,561.088806,-136.414581,1069.096313,464.925751,-231.209610,905.985229,386.482513,-201.355087,736.207581,376.044434,-257.269379,793.329102,219.439270,-230.045319,804.999084,95.793884,-209.800308,762.428711,111.107666,-133.288589,789.447021,5.427887,-140.847382,802.776672,640.111511,40.799637,1122.996094,478.759857,50.523407,1063.995483,446.779541,42.484619,993.171143
14,0,516.100342,232.059631,1097.983643,471.825378,376.127014,932.064331,479.502167,383.835663,746.805359,409.964874,428.475616,808.790039,328.652222,278.932159,754.726196,306.663330,162.243759,727.025024,329.193024,147.870178,802.776672,309.017090,60.242325,770.606079,561.097473,-136.403992,1069.071655,464.957672,-231.211166,905.940552,386.510925,-201.323395,736.182556,376.056122,-257.252319,793.294373,219.444702,-230.025711,804.969666,95.794456,-209.805817,762.432800,111.100693,-133.290131,789.446289,5.440287,-140.854202,802.783447,640.089661,40.805241,1122.983887,478.720673,50.539764,1063.954712,446.717072,42.445137,993.164856
15,0,516.066833,232.044952,1097.960571,471.843964,376.129852,932.033447,479.567657,383.845978,746.791199,409.992645,428.458771,808.742859,328.683289,278.933899,754.665161,306.695618,162.259064,726.971741,329.220886,147.879333,802.740540,309.045990,60.234802,770.572266,561.092896,-136.411163,1069.041748,464.974548,-231.188736,905.887573,386.492310,-201.302933,736.134521,376.080841,-257.246613,793.254456,219.445206,-230.012863,804.946411,95.797729,-209.805756,762.431152,111.104042,-133.272751,789.431396,5.437801,-140.843048,802.770386,640.064575,40.805996,1122.972656,478.711060,50.511860,1063.932373,446.666840,42.398026,993.130737
