Trajectories
100
,,ValidationHealthy007:Rdeltoid,,,ValidationHealthy007:RMidArm,,,ValidationHealthy007:RElbRadial,,,ValidationHealthy007:RElbUlna,,,ValidationHealthy007:RMidForeArm,,,ValidationHealthy007:RWrist1,,,ValidationHealthy007:RWrist2,,,ValidationHealthy007:RFingerJoint,,,ValidationHealthy007:LDeltoid,,,ValidationHealthy007:LMidArm,,,ValidationHealthy007:LElbRadial,,,ValidationHealthy007:LElbUlna,,,ValidationHealthy007:LMidForearm,,,ValidationHealthy007:Lwrist1,,,ValidationHealthy007:LWrist2,,,ValidationHealthy007:LFingerJoint,,,ValidationHealthy007:C7,,,ValidationHealthy007:Neck,,,ValidationHealthy007:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,173.390900,156.495193,1064.447144,129.400146,262.716217,899.812622,216.157547,279.082855,783.246582,123.119812,297.202576,798.817993,97.851563,208.751541,776.247314,85.521622,125.272842,715.819946,108.173622,112.126732,772.850037,82.776344,42.036831,748.547485,194.918030,-151.953720,1046.240601,53.061584,-264.097778,922.627686,7.647680,-252.018723,815.592896,-12.330434,-291.076324,863.131470,-101.309929,-303.588226,850.264954,-193.069626,-345.260315,757.100525,-222.901947,-281.504974,772.453369,-279.422394,-318.645569,783.964294,232.806488,4.690771,1107.421021,114.437820,3.250084,1074.661865,81.206139,16.087650,950.833191
2,0,173.530304,157.087463,1064.451050,129.374161,262.705261,899.850830,216.109161,279.155762,783.345642,123.088676,297.203644,798.929810,97.771362,208.824921,776.607483,85.438904,125.176277,716.409851,108.079964,112.130569,773.505249,82.666344,42.003742,749.363159,194.908936,-151.945267,1046.238159,53.025967,-264.005859,922.501953,7.635521,-252.000153,815.559509,-12.329288,-291.084625,863.107056,-101.312141,-303.602112,850.259155,-193.069565,-345.279388,757.087402,-222.839020,-281.496613,772.412659,-279.422791,-318.650665,783.957275,232.804153,4.679489,1107.445557,114.443497,3.220650,1074.653442,81.206909,16.069677,950.814880
3,0,173.525726,157.076630,1064.425171,129.333969,262.755371,899.918823,216.058838,279.220551,783.412659,123.018410,297.361816,799.072266,97.695732,208.854034,776.980652,85.354858,125.071617,717.028381,107.990486,112.127899,774.186523,82.549889,41.981564,750.178040,194.911011,-151.944107,1046.255981,53.030628,-264.033142,922.523560,7.635891,-251.990494,815.576355,-12.326471,-291.066986,863.101135,-101.308502,-303.605804,850.257813,-193.103836,-345.214081,757.065125,-222.847000,-281.523956,772.423889,-279.418457,-318.671722,783.970947,232.787872,4.673272,1107.448364,114.430138,3.230543,1074.661255,81.206421,16.062469,950.818604
4,0,173.484818,157.079468,1064.418823,129.290039,262.810608,899.982483,216.014847,279.326355,783.498108,122.960144,297.396301,799.205811,97.596718,208.921616,777.397827,85.282974,124.967888,717.737122,107.858612,112.121704,774.937500,82.445427,41.977898,751.146240,194.906677,-151.953705,1046.272949,53.027477,-264.047333,922.554565,7.618329,-251.978577,815.593323,-12.335124,-291.071747,863.114563,-101.314468,-303.618835,850.269897,-193.093323,-345.243988,757.073547,-222.714157,-281.463684,772.343628,-279.409760,-318.690369,783.987915,232.760437,4.686013,1107.450073,114.410431,3.238909,1074.674927,81.189835,16.043591,950.830322
5,0,173.446945,157.061371,1064.424072,129.268463,262.898346,900.074158,215.906555,279.402130,783.554016,122.905426,297.469391,799.368469,97.528870,208.990997,777.834839,85.205711,124.885841,718.471802,107.750343,112.173195,775.738037,82.302109,42.028664,752.118103,194.887100,-151.951675,1046.287964,53.012291,-264.049774,922.567261,7.619307,-251.988953,815.608887,-12.349874,-291.083435,863.123962,-101.320854,-303.629272,850.274414,-193.094894,-345.230286,757.071472,-222.824539,-281.509918,772.427979,-279.424744,-318.672852,783.972290,232.730759,4.708835,1107.450806,114.395195,3.264828,1074.666626,81.175049,16.084364,950.819458
6,0,173.436844,157.051407,1064.394897,129.232483,262.996674,900.174072,215.812256,279.524445,783.648315,122.833191,297.536987,799.531372,97.441818,209.069397,778.304688,85.135063,124.775978,719.170227,107.610542,112.265488,776.525085,82.156334,42.175812,753.229370,194.856171,-151.949997,1046.308105,53.030205,-264.123566,922.689941,7.616962,-252.002411,815.632690,-12.345175,-291.118469,863.170654,-101.336464,-303.625732,850.287109,-193.084717,-345.263824,757.094849,-222.689560,-281.451660,772.346741,-279.427063,-318.672546,783.977905,232.707718,4.748950,1107.450562,114.383667,3.289854,1074.667480,81.167076,16.092768,950.802856
7,0,173.412964,157.059204,1064.387085,129.164612,263.037903,900.247375,215.718521,279.640625,783.741760,122.735764,297.621002,799.690674,97.356972,209.181717,778.795227,85.107414,124.689392,719.899231,107.460144,112.263817,777.307556,81.991348,42.618664,754.605713,194.827805,-151.939758,1046.330933,52.969570,-264.021179,922.581665,7.604865,-252.010651,815.613586,-12.375838,-291.117371,863.178894,-101.359840,-303.622162,850.285339,-193.094421,-345.273224,757.077454,-222.761627,-281.501556,772.369568,-279.440704,-318.652069,783.965210,232.706512,4.756464,1107.487793,114.392563,3.286705,1074.653564,81.148743,16.105934,950.797485
8,0,173.393906,157.072403,1064.370728,129.129425,263.197083,900.381653,215.604385,279.709778,783.819946,122.618103,297.855591,799.891541,97.259964,209.293182,779.188538,85.076416,124.574020,720.640930,107.289940,112.398575,778.171021,81.833740,43.059391,756.065308,194.824585,-151.927292,1046.348633,52.960136,-264.013885,922.600159,7.597378,-252.022476,815.631470,-12.362062,-291.118561,863.213745,-101.360931,-303.613617,850.304932,-193.100571,-345.251099,757.096497,-222.730637,-281.473541,772.381775,-279.450897,-318.627899,783.967224,232.674026,4.798237,1107.465942,114.381874,3.324105,1074.668091,81.130943,16.107769,950.789490
9,0,173.368561,157.063400,1064.371826,129.052399,263.240906,900.479980,215.529663,279.823883,783.929993,122.588921,298.014832,800.081909,97.151505,209.427917,779.644958,84.939407,124.484642,721.459351,107.088722,112.618889,779.025635,81.621742,43.084484,757.158142,194.782440,-151.916931,1046.369873,52.994476,-264.088104,922.710449,7.589867,-252.035049,815.628723,-12.374870,-291.126465,863.206604,-101.370087,-303.624176,850.307678,-193.117355,-345.227722,757.086853,-222.663513,-281.480011,772.358826,-279.465729,-318.614441,783.965393,232.656570,4.817709,1107.477051,114.367035,3.330693,1074.673950,81.118614,16.099031,950.781555
