Time,Nose X,Nose Y,Nose Z,Neck X,Neck Y,Neck Z,RShoulder X,RShoulder Y,RShoulder Z,RElbow X,RElbow Y,RElbow Z,RWrist X,RWrist Y,RWrist Z,LShoulder X,LShoulder Y,LShoulder Z,LElbow X,LElbow Y,LElbow Z,LWrist X,LWrist Y,LWrist Z,MidHip X,MidHip Y,MidHip Z,RHip X,RHip Y,RHip Z,RKnee X,RKnee Y,RKnee Z,RAnkle X,RAnkle Y,RAnkle Z,LHip X,LHip Y,LHip Z,LKnee X,LKnee Y,LKnee Z,LAnkle X,LAnkle Y,LAnkle Z,REye X,REye Y,REye Z,LEye X,LEye Y,LEye Z,REar X,REar Y,REar Z,LEar X,LEar Y,LEar Z,LBigToe X,LBigToe Y,LBigToe Z,LSmallToe X,LSmallToe Y,LSmallToe Z,LHeel X,LHeel Y,LHeel Z,RBigToe X,RBigToe Y,RBigToe Z,RSmallToe X,RSmallToe Y,RSmallToe Z,RHeel X,RHeel Y,RHeel Z
0.029911,0.32348,0.0403718,1.961,0.337534,0.178715,2.02,0.23277,0.184297,2.083,-0,-0,0,-0,-0,0,1.02201,0.395251,4.467,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,0.311729,0.0112715,1.966,0.364379,0.0113892,1.979,0.279874,0.0239479,1.978,0.411547,0.0242576,2.004,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.029911,0.32315,0.0403306,1.959,0.3372,0.178538,2.018,0.231429,0.183235,2.071,-0,-0,0,-0,-0,0,1.00394,0.388261,4.388,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,0.311729,0.0112715,1.966,0.364747,0.0114007,1.981,0.279591,0.0239236,1.976,0.410726,0.0242092,2,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.046711,
0.063511,0.297886,0.0610398,1.958,0.321715,0.245103,2.003,0.185277,0.241927,2.048,0.0408131,0.428436,2.026,0.194833,0.440419,1.927,0.459335,0.24977,2.007,0.560533,0.399078,1.887,0.521851,0.435748,1.745,0.295204,0.575173,1.887,0.204075,0.567153,1.9,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,0.389439,0.581921,1.896,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,0.279016,0.0321848,1.972,0.335422,0.0362281,1.958,0.251604,0.0450405,1.986,0.387377,0.0536299,1.988,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601
0.080311,0.293743,0.0611423,1.958,0.322054,0.245359,2.005,0.185744,0.24258,2.053,0.040931,0.428117,2.025,0.206246,0.442701,1.92,0.459266,0.245699,2.007,0.563346,0.39731,1.897,0.518879,0.443574,1.747,0.298934,0.542947,1.886,0.209584,0.542534,1.913,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,0.392371,0.556267,1.891,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,0.278782,0.0321359,1.971,0.33155,0.0361406,1.959,0.251832,0.0409413,1.988,0.396838,0.0495778,1.994,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601,-3.14324,-1.72428,4.601
0.097111,0.29818,0.0652477,1.96,0.322169,0.245515,2.006,0.185365,0.24225,2.05,0.0410114,0.42664,2.037,0.195143,0.441086,1.93,0.457466,0.248803,1.999,0.562876,0.40078,1.895,0.516549,0.441532,1.739,0.292281,0.581198,1.868,0.204546,0.588109,1.903,-3.28671,-1.80298,4.811,-3.28671,-1.80298,4.811,0.381371,0.583672,1.876,-3.28671,-1.80298,4.811,-3.28671,-1.80298,4.811,0.278845,0.0322425,1.971,0.335449,0.0361879,1.958,0.252187,0.0451896,1.991,0.391557,0.049532,1.988,-3.28671,-1.80298,4.811,-3.28671,-1.80298,4.811,-3.28671,-1.80298,4.811,-3.28671,-1.80298,4.811,-3.28671,-1.80298,4.811,-3.28671,-1.80298,4.811
0.113911,0.298414,0.065302,1.961,0.321331,0.244792,2,0.185461,0.242345,2.051,0.0454413,0.426991,2.039,0.198421,0.443255,1.922,0.462056,0.249057,2.001,0.571112,0.414183,1.883,0.499411,0.437842,1.682,0.201452,0.411787,1.288,0.142131,0.428731,1.35,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,0.270764,0.417219,1.305,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,0.278868,0.036311,1.971,0.33521,0.0401461,1.957,0.252276,0.045197,1.991,0.391158,0.0493902,1.986,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961
0.130711,0.294468,0.0653109,1.962,0.322392,0.245634,2.007,0.185266,0.242078,2.049,0.0451955,0.429915,2.033,0.194429,0.443409,1.923,0.45775,0.248901,2,0.565998,0.413298,1.879,0.500876,0.439112,1.687,0.19998,0.408834,1.296,0.139626,0.423958,1.353,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,0.265448,0.41473,1.306,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,0.279042,0.0364038,1.972,0.33097,0.0402625,1.956,0.252098,0.0451742,1.989,0.391234,0.0535218,1.987,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961,-3.38918,-1.8592,4.961
0.147511,0.29888,0.0613225,1.964,0.322038,0.245306,2.005,0.185428,0.242321,2.051,0.0411846,0.431582,2.041,0.194608,0.443836,1.925,0.4592,0.245587,2.006,0.562628,0.404583,1.894,0.500838,0.439145,1.687,0.206516,0.408256,1.303,0.144231,0.42072,1.343,-3.63717,-1.99523,5.324,-3.63717,-1.99523,5.324,0.270997,0.409176,1.306,-3.63717,-1.99523,5.324,-3.63717,-1.99523,5.324,0.27932,0.0365011,1.974,0.331545,0.0402346,1.959,0.2526,0.0494837,1.993,0.391757,0.0536058,1.99,-3.63717,-1.99523,5.324,-3.63717,-1.99523,5.324,-3.63717,-1.99523,5.324,-3.63717,-1.99523,5.324,-3.63717,-1.99523,5.324,-3.63717,-1.99523,5.324
0.164311,0.293553,0.0609808,1.956,0.321563,0.244952,2.002,0.185311,0.242106,2.049,0.0410792,0.43119,2.039,0.203028,0.44068,1.928,0.458235,0.249102,2.002,0.562708,0.405761,1.881,0.49906,0.437648,1.681,0.288049,0.584911,1.867,0.142649,0.421333,1.354,-3.48141,-1.90979,5.096,-3.48141,-1.90979,5.096,0.260086,0.409577,1.307,-3.48141,-1.90979,5.096,-3.48141,-1.90979,5.096,0.278699,0.0322487,1.97,0.331025,0.0401019,1.956,0.251926,0.0451931,1.988,0.391787,0.0496398,1.99,-3.48141,-1.90979,5.096,-3.48141,-1.90979,5.096,-3.48141,-1.90979,5.096,-3.48141,-1.90979,5.096,-3.48141,-1.90979,5.096,-3.48141,-1.90979,5.096
