Trajectories
100
,,ValidationHealthy006:Rdeltoid,,,ValidationHealthy006:RMidArm,,,ValidationHealthy006:RElbRadial,,,ValidationHealthy006:RElbUlna,,,ValidationHealthy006:RMidForeArm,,,ValidationHealthy006:RWrist1,,,ValidationHealthy006:RWrist2,,,ValidationHealthy006:RFingerJoint,,,ValidationHealthy006:LDeltoid,,,ValidationHealthy006:LMidArm,,,ValidationHealthy006:LElbRadial,,,ValidationHealthy006:LElbUlna,,,ValidationHealthy006:LMidForearm,,,ValidationHealthy006:Lwrist1,,,ValidationHealthy006:LWrist2,,,ValidationHealthy006:LFingerJoint,,,ValidationHealthy006:C7,,,ValidationHealthy006:Neck,,,ValidationHealthy006:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,367.740509,167.360306,1041.502808,313.195313,256.064972,881.697388,370.756165,285.260254,749.245972,288.584320,302.221954,783.016785,257.267883,182.470627,773.271057,270.039398,68.463737,745.688110,283.899109,69.849998,819.060547,250.862396,-14.252553,806.361023,379.892639,-203.827271,1058.582153,377.277283,-321.133423,894.687805,383.788727,-318.128967,744.108887,371.062164,-388.633087,778.369141,244.427002,-335.843292,808.721191,124.911179,-332.076508,767.752258,138.103195,-260.289124,769.923340,58.225544,-272.851440,789.808533,427.886322,-42.674908,1114.520996,301.717468,-36.826405,1065.884399,285.280151,-48.593075,929.831970
2,0,367.726166,167.368088,1041.503174,313.189453,256.074890,881.709167,370.757843,285.264099,749.234253,288.599854,302.252319,783.032043,257.270477,182.473648,773.272949,270.018280,68.488052,745.708374,283.896149,69.842773,819.073914,250.840958,-14.231791,806.381348,379.902466,-203.826141,1058.599121,377.288727,-321.139801,894.706848,383.757965,-318.103546,744.089844,371.066437,-388.632019,778.377014,244.420120,-335.838654,808.731079,124.882935,-332.019165,767.674622,138.103271,-260.289886,769.925659,58.222458,-272.846405,789.811646,427.887115,-42.672794,1114.525391,301.743439,-36.853260,1065.889404,285.279694,-48.587025,929.846924
3,0,367.722870,167.379623,1041.510620,313.154663,256.182587,881.804199,370.776642,285.275696,749.247070,288.597809,302.236694,783.025940,257.271759,182.488647,773.284119,269.987610,68.488480,745.736450,283.900604,70.033585,819.420471,250.823730,-14.246603,806.406067,379.907104,-203.826309,1058.598267,377.291565,-321.147217,894.710144,383.726166,-318.085083,744.083252,371.054932,-388.625000,778.371094,244.418091,-335.836914,808.730774,124.896095,-332.071320,767.756653,138.103943,-260.291504,769.931213,58.230175,-272.857025,789.827026,427.904236,-42.680515,1114.531860,301.749664,-36.844875,1065.896484,285.287659,-48.581360,929.849915
4,0,367.715881,167.390915,1041.515747,313.208160,256.058533,881.704163,370.788818,285.284302,749.250488,288.629608,302.258392,783.051758,257.258179,182.499832,773.296753,269.970734,68.501488,745.749451,283.856689,69.845818,819.030334,250.787521,-14.218071,806.419006,379.916138,-203.825577,1058.605835,377.293182,-321.147003,894.712524,383.744019,-318.090454,744.069824,371.057495,-388.625336,778.381592,244.420792,-335.824799,808.726257,124.864273,-332.013306,767.677002,138.095215,-260.281525,769.923401,58.228065,-272.846680,789.819092,427.899536,-42.672634,1114.525269,301.745728,-36.833866,1065.881226,285.274261,-48.571918,929.850586
5,0,367.763245,167.361755,1041.509888,313.215027,256.091034,881.740356,370.784302,285.231201,749.223083,288.617401,302.236664,783.050903,257.254730,182.508713,773.315430,269.927368,68.490723,745.738037,283.847565,69.905121,819.166321,250.775009,-14.204486,806.440979,379.917542,-203.824142,1058.615112,377.297852,-321.131622,894.701965,383.733826,-318.088776,744.068970,371.070038,-388.649414,778.387268,244.415634,-335.824097,808.737427,124.845947,-331.914795,767.555176,138.104828,-260.300110,769.920898,58.222500,-272.865295,789.819458,427.899139,-42.666904,1114.515137,301.755066,-36.835274,1065.868652,285.262512,-48.570633,929.853149
6,0,367.794952,167.345474,1041.495117,313.217499,256.149750,881.774841,370.792084,285.219391,749.225403,288.626892,302.219299,783.039673,257.262390,182.521805,773.311890,269.903076,68.475563,745.725464,283.854767,69.971756,819.283569,250.758774,-14.220341,806.439331,379.917969,-203.817139,1058.591797,377.291656,-321.121155,894.673401,383.720398,-318.088379,744.057922,371.066711,-388.636810,778.370605,244.402817,-335.829010,808.713257,124.880348,-332.071899,767.754089,138.115646,-260.307953,769.912842,58.213284,-272.871124,789.816406,427.893738,-42.672424,1114.518433,301.759888,-36.834888,1065.850464,285.266998,-48.560402,929.822754
7,0,367.805847,167.358414,1041.496094,313.265442,256.070129,881.677856,370.785889,285.205872,749.215515,288.659119,302.288544,783.071472,257.264954,182.550262,773.311523,269.868469,68.487625,745.719177,283.772034,69.817535,818.883667,250.725891,-14.195596,806.462585,379.911438,-203.807068,1058.607300,377.290894,-321.116577,894.674561,383.753265,-318.095245,744.081848,371.064758,-388.640808,778.385254,244.393372,-335.833466,808.735901,124.865334,-332.018951,767.676025,138.114471,-260.311646,769.911011,58.208061,-272.876770,789.815125,428.014465,-42.660622,1114.615112,301.755615,-36.804935,1065.834961,285.260956,-48.535389,929.825195
8,0,367.825317,167.338486,1041.486206,313.245056,256.199402,881.813721,370.763550,285.185913,749.181824,288.645844,302.247589,783.056335,257.260559,182.574158,773.319336,269.836243,68.483566,745.709167,283.745361,69.843285,818.901917,250.712814,-14.161723,806.458923,379.896118,-203.788086,1058.601074,377.282898,-321.104248,894.675537,383.750946,-318.095917,744.095459,371.054779,-388.647949,778.391296,244.386230,-335.833130,808.745911,124.864845,-332.046753,767.722778,138.119156,-260.320953,769.914001,58.213619,-272.881592,789.824524,427.894165,-42.660397,1114.523193,301.790253,-36.800953,1065.840210,285.250916,-48.537128,929.829956
9,0,367.858704,167.325424,1041.484375,313.257538,256.195831,881.798828,370.768372,285.186096,749.190735,288.675110,302.279907,783.056580,257.290131,182.624054,773.325745,269.822327,68.512398,745.694885,283.728912,69.855080,818.861633,250.692062,-14.149375,806.450378,379.897827,-203.789322,1058.605591,377.273529,-321.091217,894.667480,383.756470,-318.095673,744.111389,371.059753,-388.658447,778.405762,244.388031,-335.826874,808.747314,124.859917,-331.986206,767.652161,138.123093,-260.331573,769.908081,58.197392,-272.876312,789.822144,427.900604,-42.654587,1114.534546,301.799164,-36.773079,1065.824219,285.242920,-48.518379,929.823853
