Trajectories
100
,,ValidationHealthy006:Rdeltoid,,,ValidationHealthy006:RMidArm,,,ValidationHealthy006:RElbRadial,,,ValidationHealthy006:RElbUlna,,,ValidationHealthy006:RMidForeArm,,,ValidationHealthy006:RWrist1,,,ValidationHealthy006:RWrist2,,,ValidationHealthy006:RFingerJoint,,,ValidationHealthy006:LDeltoid,,,ValidationHealthy006:LMidArm,,,ValidationHealthy006:LElbRadial,,,ValidationHealthy006:LElbUlna,,,ValidationHealthy006:LMidForearm,,,ValidationHealthy006:Lwrist1,,,ValidationHealthy006:LWrist2,,,ValidationHealthy006:LFingerJoint,,,ValidationHealthy006:C7,,,ValidationHealthy006:Neck,,,ValidationHealthy006:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,366.434265,167.340469,1052.834717,328.132721,257.141113,885.213379,,,,311.812714,305.896637,784.972046,265.078949,188.453568,768.251282,259.434296,72.323875,736.070984,273.249817,71.512070,808.986389,243.953644,-12.496450,796.413818,368.877045,-205.380615,1061.561279,371.943298,-321.435181,895.970215,384.233032,-317.151184,745.488770,371.637482,-388.016388,779.678345,244.472656,-336.436401,808.877441,125.148552,-332.131439,767.697815,138.148117,-260.298584,770.241516,58.059456,-272.981628,789.575195,416.877899,-43.307762,1120.764893,292.086670,-37.659180,1072.362793,272.533630,-46.776993,936.605591
2,0,366.433655,167.326324,1052.828857,328.121918,257.150665,885.238892,,,,311.810638,305.915741,784.992126,265.074310,188.492630,768.252808,259.455292,72.353813,736.059937,273.233459,71.512886,808.958618,243.956345,-12.504039,796.381165,368.865387,-205.372620,1061.552002,371.933899,-321.424896,895.965027,384.233582,-317.153076,745.500671,371.640289,-388.026550,779.683838,244.485809,-336.440460,808.886353,125.114143,-332.097717,767.658508,138.148590,-260.303833,770.256653,58.072697,-273.000366,789.586731,416.838287,-43.320381,1120.752930,292.072449,-37.659843,1072.323364,272.541962,-46.773144,936.590454
3,0,366.418915,167.340302,1052.822876,328.112091,257.171722,885.240906,,,,311.819916,305.916321,784.993591,265.082031,188.516251,768.243530,259.452698,72.370323,736.049072,273.232330,71.530815,808.938782,243.968872,-12.497740,796.344116,368.857697,-205.360657,1061.538330,371.930664,-321.423309,895.964294,384.260437,-317.158691,745.518433,371.641907,-388.028992,779.675232,244.478302,-336.439514,808.876892,125.168610,-332.151611,767.731628,138.151566,-260.307831,770.243347,58.074764,-272.992859,789.581055,416.831696,-43.315857,1120.743530,292.053314,-37.660419,1072.279419,272.546692,-46.748272,936.571289
4,0,366.424591,167.336517,1052.803345,328.093750,257.210693,885.285706,,,,311.802490,305.938538,785.016418,265.086243,188.504684,768.229065,259.454712,72.372063,736.004333,273.236786,71.533997,808.957764,243.955338,-12.497173,796.294617,368.846588,-205.348709,1061.509399,371.916504,-321.407837,895.942749,384.238159,-317.154236,745.497803,371.636719,-388.023895,779.663635,244.463867,-336.450439,808.880127,125.120224,-332.113922,767.678650,138.144211,-260.300323,770.238403,58.072826,-272.987610,789.568481,416.813263,-43.329979,1120.747925,292.031830,-37.638683,1072.231323,272.551910,-46.755833,936.540710
5,0,366.439362,167.325119,1052.776611,328.119507,257.128815,885.186279,,,,311.818115,305.920593,784.986328,265.076569,188.515198,768.206787,259.457764,72.384201,735.988403,273.242096,71.497025,808.854797,243.951050,-12.485327,796.254883,368.834412,-205.348846,1061.501099,371.903351,-321.394745,895.929138,384.234650,-317.145752,745.492310,371.640350,-388.050873,779.667419,244.460281,-336.458374,808.883667,125.108017,-332.085144,767.637512,138.145187,-260.301758,770.229309,58.066555,-272.982361,789.564941,416.766479,-43.314377,1120.724243,292.016876,-37.641262,1072.172485,272.541290,-46.741608,936.519958
6,0,366.459473,167.317810,1052.770142,328.128357,257.137390,885.195801,,,,311.825623,305.922699,785.008545,265.081848,188.516663,768.204224,259.462189,72.372780,735.964905,273.232025,71.487785,808.847229,243.950073,-12.476446,796.237427,368.827484,-205.341034,1061.495972,371.894043,-321.401306,895.936584,384.235016,-317.147400,745.498962,371.632751,-388.051178,779.670959,244.453583,-336.458466,808.884338,125.097069,-332.102386,767.663330,138.158890,-260.319763,770.231750,58.066219,-272.994385,789.585815,416.762177,-43.319016,1120.745361,291.997559,-37.622032,1072.136963,272.546783,-46.747559,936.515137
7,0,366.451935,167.290558,1052.768555,328.129517,257.137787,885.203369,,,,311.841125,305.933441,785.020447,265.082001,188.529068,768.175232,259.460022,72.387131,735.946045,273.222839,71.536087,808.875122,243.953995,-12.486412,796.211182,368.813721,-205.342484,1061.487427,371.896667,-321.400177,895.933472,384.218414,-317.142548,745.487854,371.634796,-388.077179,779.673828,244.445206,-336.465973,808.886292,125.119713,-332.134125,767.681824,138.165482,-260.335297,770.232300,58.065178,-273.007385,789.590393,416.755157,-43.313801,1120.748657,292.005371,-37.648594,1072.084839,272.543671,-46.720711,936.474060
8,0,366.473511,167.289841,1052.754761,328.149292,257.119507,885.173035,,,,311.874634,305.989349,785.068420,265.092133,188.568970,768.182617,259.450195,72.397575,735.950195,273.220917,71.543571,808.830872,243.979111,-12.507084,796.194763,368.797333,-205.335617,1061.481079,371.889221,-321.407898,895.937378,384.240234,-317.145233,745.504150,371.632629,-388.094391,779.675293,244.441650,-336.479401,808.897827,125.114395,-332.117523,767.670959,138.181595,-260.358826,770.231323,58.062363,-273.017578,789.584351,416.748962,-43.319412,1120.755371,291.994019,-37.674496,1072.050415,272.556274,-46.722633,936.468811
9,0,366.479065,167.277969,1052.740967,328.158447,257.146179,885.209473,,,,311.874756,306.014832,785.092712,265.090912,188.602463,768.172546,259.441711,72.417526,735.922974,273.210938,71.566742,808.841248,243.981033,-12.472075,796.177307,368.770142,-205.321884,1061.469116,371.885101,-321.400543,895.932922,384.213745,-317.140778,745.491638,371.618011,-388.096710,779.670959,244.427109,-336.471954,808.896790,125.087395,-332.116028,767.668152,138.182587,-260.355042,770.222351,58.046268,-272.995514,789.584290,416.743774,-43.312576,1120.759033,291.961212,-37.634991,1071.974976,272.567261,-46.705219,936.454468
