Trajectories
100
,,ValidationHealthy008:Rdeltoid,,,ValidationHealthy008:RMidArm,,,ValidationHealthy008:RElbRadial,,,ValidationHealthy008:RElbUlna,,,ValidationHealthy008:RMidForeArm,,,ValidationHealthy008:RWrist1,,,ValidationHealthy008:RWrist2,,,ValidationHealthy008:RFingerJoint,,,ValidationHealthy008:LDeltoid,,,ValidationHealthy008:LMidArm,,,ValidationHealthy008:LElbRadial,,,ValidationHealthy008:LElbUlna,,,ValidationHealthy008:LMidForearm,,,ValidationHealthy008:Lwrist1,,,ValidationHealthy008:LWrist2,,,ValidationHealthy008:LFingerJoint,,,ValidationHealthy008:C7,,,ValidationHealthy008:Neck,,,ValidationHealthy008:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,212.481323,190.830551,1090.583130,192.309937,286.436218,927.033325,266.435913,293.813660,807.857544,195.259308,330.804901,834.448914,133.775406,240.345322,806.120850,103.563820,146.629929,741.878967,112.955498,133.435944,806.284790,86.635201,62.234665,774.190369,211.785324,-133.090897,1091.241699,176.677078,-220.562881,889.166626,182.349670,-181.665726,762.813782,169.107117,-244.381012,790.576843,68.132195,-247.556381,799.688660,-37.613049,-253.600754,771.790466,-41.868496,-191.486710,786.039307,-120.425232,-206.289963,782.459534,294.796112,27.595682,1133.806885,167.531906,17.410973,1099.346802,133.282349,20.927296,952.289795
11,0,212.479218,190.836182,1090.563477,192.197891,286.243774,926.926086,266.435638,293.843018,807.838501,195.309494,330.794983,834.401367,133.804230,240.396149,806.114868,103.607483,146.627365,741.820374,112.976753,133.471970,806.221680,86.656425,62.203506,774.060852,211.780197,-133.055298,1091.206665,176.683472,-220.535141,889.127502,182.346786,-181.614212,762.792297,169.102921,-244.358765,790.534363,68.123619,-247.523697,799.654480,-37.609879,-253.595291,771.763367,-41.869450,-191.490814,786.023804,-120.428566,-206.301498,782.454346,294.770844,27.647844,1133.796509,167.516098,17.396189,1099.318115,133.294510,20.936735,952.230103
12,0,212.480362,190.867218,1090.543457,192.366669,286.484497,926.955688,266.415497,293.852997,807.785645,195.388855,330.821442,834.377014,133.832703,240.408920,806.023682,103.645409,146.653259,741.777100,112.999168,133.493835,806.170593,86.687614,62.267601,774.046509,211.781204,-133.034485,1091.195435,176.682465,-220.501892,889.106812,182.336014,-181.594910,762.781921,169.123032,-244.342010,790.527344,68.132698,-247.495331,799.650391,-37.597061,-253.588043,771.778503,-41.867680,-191.476257,786.025513,-120.418007,-206.311707,782.469849,294.808685,27.648491,1133.797363,167.484802,17.471226,1099.315552,133.328094,20.946545,952.167908
13,0,212.477585,190.891998,1090.506104,192.399185,286.511017,926.920227,266.477600,293.818237,807.768738,195.390350,330.835724,834.316406,133.875046,240.489807,806.012878,103.681122,146.667801,741.741760,113.020363,133.521469,806.168152,86.713203,62.275105,773.983276,211.780716,-133.007370,1091.171509,176.701859,-220.471909,889.077026,182.352707,-181.581177,762.755737,169.140915,-244.324738,790.506470,68.144249,-247.474930,799.631104,-37.582123,-253.568176,771.767212,-41.852806,-191.470749,786.015442,-120.411079,-206.298798,782.462219,295.401367,27.356665,1134.017822,167.453400,17.486835,1099.312500,133.367905,20.962267,952.123413
14,0,212.475784,190.897324,1090.472046,192.558914,286.707428,926.941833,266.631989,293.846985,807.742798,195.361267,330.848022,834.222595,133.916977,240.477936,805.940247,103.728775,146.675034,741.691162,113.049454,133.545380,806.148743,86.735947,62.328808,773.958130,211.792038,-132.987320,1091.156616,176.707947,-220.447876,889.043152,182.348801,-181.521515,762.721436,169.148331,-244.287918,790.482178,68.150078,-247.433762,799.601746,-37.580727,-253.536880,771.747131,-41.855949,-191.465836,786.004333,-120.409561,-206.295731,782.459717,294.743744,27.726696,1133.765015,167.398422,17.562004,1099.283081,133.388306,20.980572,952.091187
15,0,212.473572,190.895264,1090.440186,192.568451,286.674316,926.872070,265.971771,293.822601,807.560974,195.430939,330.853210,834.207520,133.951141,240.459076,805.906189,103.748436,146.702179,741.680115,113.065048,133.557571,806.132263,86.760902,62.314117,773.947144,211.792847,-132.965805,1091.141602,176.719177,-220.421387,889.020813,182.335327,-181.484802,762.695007,169.151657,-244.249039,790.456482,68.160057,-247.412888,799.577454,-37.574787,-253.545792,771.748657,-41.852489,-191.460876,785.999329,-120.407906,-206.298615,782.461609,294.740356,27.742510,1133.769653,167.407135,17.586809,1099.274292,133.421249,20.994873,952.056396
16,0,212.485016,190.889587,1090.391724,192.497528,286.535950,926.771301,266.452362,293.823639,807.606506,195.414886,330.837524,834.122864,133.997742,240.471558,805.870911,103.773170,146.707291,741.654785,113.081726,133.568802,806.071960,86.773117,62.320816,773.931396,211.818741,-132.947525,1091.115601,176.732101,-220.386459,888.987671,182.357498,-181.473465,762.702515,169.155411,-244.208572,790.430969,68.165771,-247.392670,799.556519,-37.567612,-253.517212,771.721924,-41.861153,-191.462784,785.993896,-120.414352,-206.295883,782.459534,294.754608,27.758535,1133.758301,167.403900,17.552900,1099.270386,133.427811,21.004318,952.043945
17,0,212.503006,190.918686,1090.374756,192.616470,286.665741,926.788208,266.462555,293.812927,807.560364,195.499298,330.844696,834.098083,134.025940,240.457809,805.829834,103.781601,146.709015,741.636047,113.099693,133.574722,806.054443,86.789452,62.347012,773.980896,211.744110,-133.046158,1091.169434,176.743576,-220.366776,889.003784,182.339035,-181.429352,762.716492,169.170212,-244.191681,790.431213,68.185905,-247.384995,799.574524,-37.560394,-253.534012,771.752563,-41.851032,-191.466949,786.009094,-120.409088,-206.295044,782.478149,294.731110,27.763985,1133.790161,167.390121,17.563911,1099.307373,133.443497,21.025501,952.044312
18,0,212.502258,190.951218,1090.367676,192.368256,286.250122,926.611206,266.478668,293.788086,807.526672,195.608444,330.839935,834.099182,134.059341,240.453369,805.798157,103.790741,146.707581,741.636780,113.125076,133.581604,806.056641,86.805756,62.326328,773.938354,211.755951,-133.021805,1091.148926,176.762161,-220.334442,888.992188,182.324371,-181.395569,762.704163,169.171310,-244.167053,790.424316,68.184738,-247.364685,799.557983,-37.557331,-253.551666,771.759094,-41.857864,-191.461395,786.011292,-120.405479,-206.300293,782.474915,294.755798,27.801050,1133.758423,167.387329,17.541588,1099.313721,133.443542,21.036285,952.005920
19,0,212.522659,190.979721,1090.349609,192.564941,286.488647,926.645813,266.510254,293.774994,807.487488,195.592697,330.888855,834.058350,134.086166,240.425659,805.764526,103.804703,146.691086,741.629211,113.166458,133.590164,806.056580,86.825424,62.323723,773.940918,211.791031,-132.984192,1091.134644,176.776016,-220.298920,888.986511,182.320053,-181.371918,762.710083,169.179962,-244.146683,790.428162,68.202347,-247.369247,799.574890,-37.548676,-253.545013,771.770081,-41.853111,-191.461975,786.016479,-120.398193,-206.305740,782.480347,294.715179,27.829391,1133.815186,167.387314,17.573578,1099.323486,133.475571,21.025621,951.981812
