Trajectories
100
,,ValidationHealthy008:Rdeltoid,,,ValidationHealthy008:RMidArm,,,ValidationHealthy008:RElbRadial,,,ValidationHealthy008:RElbUlna,,,ValidationHealthy008:RMidForeArm,,,ValidationHealthy008:RWrist1,,,ValidationHealthy008:RWrist2,,,ValidationHealthy008:RFingerJoint,,,ValidationHealthy008:LDeltoid,,,ValidationHealthy008:LMidArm,,,ValidationHealthy008:LElbRadial,,,ValidationHealthy008:LElbUlna,,,ValidationHealthy008:LMidForearm,,,ValidationHealthy008:Lwrist1,,,ValidationHealthy008:LWrist2,,,ValidationHealthy008:LFingerJoint,,,ValidationHealthy008:C7,,,ValidationHealthy008:Neck,,,ValidationHealthy008:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,217.656433,195.248184,1090.765381,208.881821,290.731354,924.243835,286.891724,282.800720,806.286011,220.144577,325.376831,829.738525,150.628174,241.257263,800.553101,112.154366,151.717285,736.507263,120.489433,137.248276,800.470947,90.356277,65.826454,770.351868,221.068665,-130.962082,1093.793579,180.177200,-215.316803,889.370361,180.915710,-172.409622,764.113159,169.504913,-235.558228,789.976746,68.991486,-243.174957,798.894653,-35.951458,-253.418182,769.860474,-42.963402,-192.053497,786.523376,-120.393127,-209.981598,785.330139,301.224884,31.917208,1134.233276,174.033920,20.078974,1101.025757,136.232574,23.752979,956.744873
2,0,217.710556,195.237640,1090.779785,208.964355,290.731445,924.276489,286.916840,282.824738,806.307251,220.157700,325.396545,829.783081,150.669220,241.246140,800.591797,112.181671,151.736450,736.527161,120.511009,137.251251,800.476135,90.356186,65.853569,770.371704,221.130356,-130.982208,1093.767334,180.216751,-215.315872,889.352173,180.956833,-172.415573,764.110840,169.514252,-235.538773,789.943298,68.996094,-243.153473,798.874329,-35.934345,-253.409180,769.858826,-42.950310,-192.052216,786.515503,-120.383339,-209.987198,785.325684,301.295502,31.896286,1134.224976,174.088303,20.033636,1101.012085,136.268707,23.729042,956.756409
3,0,217.754059,195.211349,1090.779053,209.001999,290.741974,924.317627,286.932068,282.829071,806.312073,220.182526,325.395538,829.794495,150.694229,241.238235,800.592773,112.197586,151.745850,736.537964,120.532578,137.263214,800.492920,90.396294,65.827766,770.358826,221.193329,-131.000656,1093.752808,180.246887,-215.307373,889.327637,180.938278,-172.386551,764.092651,169.516296,-235.523575,789.918945,69.006584,-243.148193,798.865601,-35.936279,-253.400482,769.845520,-42.942081,-192.048508,786.509155,-120.377724,-209.984406,785.335876,301.347778,31.864920,1134.218750,174.139664,20.017727,1100.993652,136.293900,23.712198,956.757996
4,0,217.799072,195.187531,1090.786133,209.028915,290.752014,924.338013,286.949249,282.828735,806.317200,220.193130,325.399139,829.815552,150.697861,241.281067,800.606506,112.198349,151.767136,736.566406,120.585335,137.261551,800.503845,90.422485,65.834732,770.385986,221.234055,-130.996796,1093.738647,180.270538,-215.298447,889.311523,180.948364,-172.353546,764.085205,169.529343,-235.497025,789.902771,69.017731,-243.137939,798.870117,-35.938927,-253.380768,769.842712,-42.946518,-192.034195,786.512268,-120.378082,-209.973862,785.332275,301.787567,31.658415,1134.418823,174.166107,20.021240,1100.979004,136.311981,23.725695,956.767090
5,0,217.847107,195.159378,1090.775146,209.089203,290.734131,924.344727,286.955353,282.838043,806.314331,220.216019,325.401550,829.812317,150.717789,241.253220,800.588928,112.217506,151.743530,736.562439,120.609940,137.241318,800.503662,90.458702,65.837463,770.382202,221.285187,-131.005981,1093.716675,180.308670,-215.289551,889.280029,180.933533,-172.296844,764.048523,169.524094,-235.478424,789.883179,69.008194,-243.113464,798.826660,-35.937866,-253.340668,769.798889,-42.947117,-192.031403,786.502747,-120.385612,-209.953232,785.329834,301.440979,31.863834,1134.198975,174.192719,20.018637,1100.951904,136.373245,23.703154,956.742859
6,0,217.893402,195.128616,1090.766357,209.137817,290.735199,924.347473,286.979706,282.832794,806.303894,220.230743,325.381348,829.799133,150.740372,241.226257,800.587524,112.225334,151.716553,736.577881,120.665298,137.215866,800.510437,90.493484,65.816353,770.401917,221.322678,-131.010742,1093.705200,180.334290,-215.280869,889.265991,180.910156,-172.262741,764.044983,169.534973,-235.473694,789.885681,69.003685,-243.110626,798.822388,-35.936081,-253.313934,769.787659,-42.932724,-192.041382,786.507874,-120.384117,-209.954605,785.330994,301.872437,31.644157,1134.391235,174.203781,20.025398,1100.947144,136.439545,23.703226,956.714050
7,0,217.931961,195.114151,1090.762817,209.194427,290.711731,924.358215,287.000305,282.839996,806.288513,220.236160,325.381348,829.798218,150.759644,241.177322,800.583557,112.249329,151.695770,736.596924,120.706467,137.187897,800.510986,90.525085,65.824699,770.423584,221.341385,-131.014709,1093.691895,180.343933,-215.287674,889.249573,180.943054,-172.268494,764.070374,169.527496,-235.456726,789.852478,68.996269,-243.101852,798.800415,-35.938641,-253.310440,769.775940,-42.938114,-192.057724,786.501770,-120.391098,-209.960541,785.315125,301.913727,31.640947,1134.383545,174.236969,19.978647,1100.950317,136.492554,23.682665,956.707336
8,0,217.958939,195.095322,1090.745361,209.213516,290.707794,924.341064,287.024933,282.834656,806.282593,220.264160,325.355133,829.782227,150.787750,241.167114,800.597107,112.257179,151.695450,736.628418,120.747826,137.180557,800.533752,90.555725,65.788857,770.439941,221.369873,-131.020447,1093.698730,180.357758,-215.297577,889.255554,180.887146,-172.216110,764.046570,169.527222,-235.449799,789.856384,68.998505,-243.103363,798.811340,-35.933720,-253.297836,769.778015,-42.928776,-192.061905,786.518616,-120.388351,-209.948273,785.329590,303.276062,30.414179,1135.018433,174.244034,19.999039,1100.944580,136.558853,23.697178,956.675598
9,0,218.006317,195.088318,1090.728027,209.238846,290.689880,924.350952,287.040924,282.830200,806.270996,220.303711,325.358246,829.763123,150.814316,241.181259,800.626892,112.285881,151.698273,736.631104,120.793816,137.165253,800.528748,90.577003,65.780281,770.466003,221.386612,-131.022018,1093.690918,180.361938,-215.299866,889.252747,180.899765,-172.220169,764.058899,169.529938,-235.465622,789.867188,68.992409,-243.112411,798.817078,-35.941620,-253.277176,769.765869,-42.921940,-192.068115,786.522095,-120.388779,-209.956711,785.329468,301.974976,31.613968,1134.393555,174.263718,19.992880,1100.951416,136.605682,23.706203,956.662292
