Time,Nose X,Nose Y,Nose Z,Neck X,Neck Y,Neck Z,RShoulder X,RShoulder Y,RShoulder Z,RElbow X,RElbow Y,RElbow Z,RWrist X,RWrist Y,RWrist Z,LShoulder X,LShoulder Y,LShoulder Z,LElbow X,LElbow Y,LElbow Z,LWrist X,LWrist Y,LWrist Z,MidHip X,MidHip Y,MidHip Z,RHip X,RHip Y,RHip Z,RKnee X,RKnee Y,RKnee Z,RAnkle X,RAnkle Y,RAnkle Z,LHip X,LHip Y,LHip Z,LKnee X,LKnee Y,LKnee Z,LAnkle X,LAnkle Y,LAnkle Z,REye X,REye Y,REye Z,LEye X,LEye Y,LEye Z,REar X,REar Y,REar Z,LEar X,LEar Y,LEar Z,LBigToe X,LBigToe Y,LBigToe Z,LSmallToe X,LSmallToe Y,LSmallToe Z,LHeel X,LHeel Y,LHeel Z,RBigToe X,RBigToe Y,RBigToe Z,RSmallToe X,RSmallToe Y,RSmallToe Z,RHeel X,RHeel Y,RHeel Z
0.023558,0.245159,0.0702255,1.873,0.272783,0.231825,1.927,0.13784,0.232564,1.933,0.0479034,0.431155,1.96,-0,-0,0,0.407293,0.230665,1.885,0.473916,0.433561,1.863,-0,-0,0,0.243411,0.513371,1.72,0.151985,0.522742,1.764,-0,-0,0,-0,-0,0,0.282934,0.438439,1.469,-0,-0,0,-0,-0,0,0.223364,0.0428059,1.891,0.274704,0.0387178,1.884,0.190501,0.0600736,1.925,0.339548,0.0522503,1.934,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.040358,0.245613,0.0703501,1.876,0.276137,0.223214,1.923,0.141697,0.228035,1.93,0.0394658,0.413717,1.956,-4.18644,-2.29654,6.128,0.407622,0.222963,1.887,0.47219,0.423756,1.872,-4.18644,-2.29654,6.128,0.247617,0.522509,1.776,0.151189,0.521662,1.799,-4.18644,-2.29654,6.128,-4.18644,-2.29654,6.128,0.283273,0.434363,1.487,-4.18644,-2.29654,6.128,-4.18644,-2.29654,6.128,0.227007,0.0427555,1.888,0.275192,0.038873,1.887,0.193648,0.0557666,1.916,0.340066,0.0563309,1.937,-4.18644,-2.29654,6.128,-4.18644,-2.29654,6.128,-4.18644,-2.29654,6.128,-4.18644,-2.29654,6.128,-4.18644,-2.29654,6.128,-4.18644,-2.29654,6.128
0.057158,0.234221,0.0706755,1.88,0.271289,0.238651,1.916,0.117917,0.241747,1.943,-0.0511888,0.44743,1.923,0.151145,0.48423,1.845,0.426699,0.238604,1.883,0.448715,0.462855,1.764,0.372487,0.442353,1.659,0.217345,0.56343,1.717,0.122287,0.576409,1.768,-0,-0,0,-0,-0,0,0.278071,0.507881,1.528,-0,-0,0,-0,-0,0,0.208561,0.0432966,1.903,0.270337,0.0428144,1.882,0.178729,0.0644018,1.931,0.340247,0.0767058,1.938,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0
0.073958,0.23397,0.0743055,1.878,0.271673,0.242894,1.919,0.117862,0.242165,1.945,-0.051185,0.450387,1.918,0.151287,0.484732,1.847,0.426292,0.242167,1.881,0.448501,0.462652,1.763,0.37531,0.445041,1.656,0.218666,0.576177,1.756,0.0823072,0.413402,1.268,-4.16116,-2.28268,6.091,-4.16116,-2.28268,6.091,0.273935,0.497066,1.505,-4.16116,-2.28268,6.091,-4.16116,-2.28268,6.091,0.208391,0.0432509,1.901,0.27017,0.0428492,1.881,0.17912,0.0644815,1.936,0.339447,0.0726137,1.933,-4.16116,-2.28268,6.091,-4.16116,-2.28268,6.091,-4.16116,-2.28268,6.091,-4.16116,-2.28268,6.091,-4.16116,-2.28268,6.091,-4.16116,-2.28268,6.091
0.090758,0.233586,0.0742344,1.875,0.276232,0.243819,1.924,0.117954,0.242471,1.946,-0.0508886,0.445655,1.915,0.158512,0.486669,1.84,0.427613,0.242972,1.886,0.453552,0.486306,1.754,0.367402,0.442516,1.621,0.155664,0.42416,1.229,0.0896972,0.431838,1.259,-3.82368,-2.09754,5.597,-3.82368,-2.09754,5.597,0.224398,0.41842,1.205,-3.82368,-2.09754,5.597,-3.82368,-2.09754,5.597,0.207966,0.0432361,1.897,0.269725,0.04645,1.878,0.178973,0.0684271,1.934,0.33979,0.0769885,1.936,-3.82368,-2.09754,5.597,-3.82368,-2.09754,5.597,-3.82368,-2.09754,5.597,-3.82368,-2.09754,5.597,-3.82368,-2.09754,5.597,-3.82368,-2.09754,5.597
0.107558,0.233984,0.0743431,1.878,0.276627,0.243975,1.926,0.118087,0.242649,1.948,-0.0510342,0.446196,1.917,0.155453,0.485598,1.85,0.433976,0.244397,1.897,0.445512,0.470472,1.737,0.367903,0.439674,1.623,0.153269,0.424873,1.231,0.0813979,0.427475,1.254,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,0.220209,0.422741,1.21,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,0.208091,0.046961,1.898,0.270384,0.0428798,1.883,0.178958,0.0685267,1.933,0.339356,0.0726518,1.933,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219
0.124358,0.23405,0.0743373,1.879,0.276736,0.244093,1.927,0.118013,0.242502,1.947,-0.0509742,0.44928,1.913,0.155308,0.48503,1.848,0.434379,0.244588,1.899,0.455163,0.484261,1.76,0.367357,0.442541,1.621,0.154153,0.427265,1.238,0.0819305,0.430535,1.263,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,0.222965,0.420575,1.211,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,0.20816,0.0432908,1.899,0.270666,0.0429733,1.885,0.178503,0.0682534,1.928,0.339867,0.0767295,1.936,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219
0.141158,0.23393,0.0743064,1.878,0.276234,0.243764,1.924,0.118063,0.242638,1.948,-0.0509943,0.453685,1.915,0.14783,0.486167,1.852,0.4272,0.246567,1.884,0.447016,0.475781,1.743,0.367703,0.442754,1.622,0.154641,0.424048,1.221,0.0863114,0.430756,1.248,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,0.227769,0.424957,1.209,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,0.208203,0.043263,1.899,0.270557,0.0465951,1.884,0.179003,0.0644597,1.933,0.338998,0.0766198,1.931,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219,-3.56544,-1.95588,5.219
0.157958,0.237292,0.0742268,1.875,0.276112,0.243617,1.923,0.113955,0.242321,1.945,-0.0509044,0.449442,1.914,0.151443,0.485106,1.848,0.427217,0.242689,1.884,0.458168,0.476295,1.772,0.373512,0.442978,1.648,0.158741,0.412439,1.233,0.0899117,0.416496,1.261,-5.1374,-2.81821,7.52,-5.1374,-2.81821,7.52,0.22961,0.412963,1.219,-5.1374,-2.81821,7.52,-5.1374,-2.81821,7.52,0.2086,0.0470563,1.902,0.270315,0.0466005,1.882,0.179175,0.0644428,1.936,0.339411,0.0767217,1.933,-5.1374,-2.81821,7.52,-5.1374,-2.81821,7.52,-5.1374,-2.81821,7.52,-5.1374,-2.81821,7.52,-5.1374,-2.81821,7.52,-5.1374,-2.81821,7.52
0.174758,0.233984,0.074393,1.878,0.276168,0.243712,1.923,0.114198,0.242823,1.949,-0.0510326,0.446348,1.918,0.144081,0.486678,1.854,0.434694,0.248732,1.9,0.443946,0.487222,1.731,0.366815,0.441746,1.618,0.155066,0.425022,1.224,0.0886883,0.429311,1.244,-5.2754,-2.89391,7.722,-5.2754,-2.89391,7.722,0.227202,0.426216,1.22,-5.2754,-2.89391,7.722,-5.2754,-2.89391,7.722,0.208345,0.0469842,1.9,0.270854,0.0466409,1.886,0.179511,0.0685941,1.938,0.33919,0.0726351,1.932,-5.2754,-2.89391,7.722,-5.2754,-2.89391,7.722,-5.2754,-2.89391,7.722,-5.2754,-2.89391,7.722,-5.2754,-2.89391,7.722,-5.2754,-2.89391,7.722
