Trajectories
100
,,ValidationHealthy009:Rdeltoid,,,ValidationHealthy009:RMidArm,,,ValidationHealthy009:RElbRadial,,,ValidationHealthy009:RElbUlna,,,ValidationHealthy009:RMidForeArm,,,ValidationHealthy009:RWrist1,,,ValidationHealthy009:RWrist2,,,ValidationHealthy009:RFingerJoint,,,ValidationHealthy009:LDeltoid,,,ValidationHealthy009:LMidArm,,,ValidationHealthy009:LElbRadial,,,ValidationHealthy009:LElbUlna,,,ValidationHealthy009:LMidForearm,,,ValidationHealthy009:Lwrist1,,,ValidationHealthy009:LWrist2,,,ValidationHealthy009:LFingerJoint,,,ValidationHealthy009:C7,,,ValidationHealthy009:Neck,,,ValidationHealthy009:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,383.958923,165.022141,1072.599976,344.194580,299.876862,911.392639,406.589111,358.941071,798.881287,339.142761,360.163239,819.444763,302.593384,244.864151,775.861267,291.738586,135.565414,746.116089,328.171295,124.754494,799.011780,294.938293,51.395569,787.505615,414.965271,-146.429886,1082.122803,289.056793,-228.709229,912.283813,262.307922,-214.074417,791.817932,232.018234,-249.582855,844.776245,107.280609,-228.168747,808.712585,17.429628,-211.446320,779.715027,16.538519,-155.022552,790.211426,-69.094749,-163.767044,778.363159,478.284851,6.269396,1130.115723,358.544464,20.892845,1088.784302,312.371552,4.246143,953.061646
2,0,383.949982,165.005676,1072.611328,344.175751,299.933563,911.430969,406.600677,359.045166,798.926331,338.562317,359.468567,819.184448,302.562927,244.925629,775.856140,291.807251,135.604843,746.110291,328.243530,124.783051,799.003540,294.976837,51.451359,787.512024,414.976196,-146.429779,1082.122559,289.059052,-228.697815,912.277527,262.312073,-214.050873,791.818359,232.033188,-249.585632,844.763672,107.292259,-228.181335,808.703857,17.428858,-211.454102,779.721741,16.530848,-155.020432,790.209900,-69.097046,-163.770432,778.368713,478.266876,6.257936,1130.113037,358.544312,20.909376,1088.778198,312.393250,4.242551,953.040100
3,0,386.034637,161.602264,1071.601563,345.561157,296.593048,910.175903,406.618469,359.075684,798.958923,338.883209,359.892120,819.345093,302.650696,244.938217,775.887695,291.869293,135.644196,746.089233,328.295074,124.827225,798.986877,294.994690,51.503765,787.503235,414.969727,-146.424606,1082.113281,289.052917,-228.684311,912.267273,262.319916,-214.052780,791.819214,232.041000,-249.571228,844.741089,107.291191,-228.170029,808.678833,17.452887,-211.681549,779.991333,16.527147,-155.021408,790.201416,-69.092201,-163.777985,778.364624,478.268036,6.260520,1130.114136,358.528931,20.931528,1088.778198,312.404816,4.253893,953.006470
4,0,386.024994,161.600433,1071.594849,345.564880,296.618835,910.182800,406.651154,359.072876,798.967285,339.125061,360.203705,819.446533,302.654694,244.954620,775.886414,291.925018,135.669098,746.094604,328.316925,124.837593,798.981750,295.009583,51.523891,787.505249,414.968719,-146.422470,1082.101563,289.053558,-228.678024,912.268860,262.340332,-214.077850,791.796570,232.045502,-249.569885,844.735352,107.313118,-228.181778,808.685425,17.439074,-211.671387,779.977722,16.523911,-155.010040,790.198853,-69.098259,-163.770935,778.367310,478.256897,6.271681,1130.116821,358.522491,20.903362,1088.774414,312.441071,4.249088,952.980530
5,0,383.962646,164.962860,1072.595825,345.551025,296.657043,910.191833,406.670319,359.107025,798.981934,338.678894,359.545258,819.195740,302.686066,244.960571,775.879761,291.949585,135.668564,746.075195,328.389038,124.812393,798.975403,295.036224,51.538998,787.508057,414.961609,-146.406540,1082.069580,289.044281,-228.690399,912.250488,262.310425,-214.051529,791.811768,232.033554,-249.578964,844.723816,107.288918,-228.176544,808.676392,17.417496,-211.444275,779.675049,16.511169,-155.027390,790.192078,-69.110977,-163.771439,778.365601,478.254456,6.270612,1130.105713,358.511292,20.872198,1088.760376,312.445251,4.260624,952.943298
6,0,383.996826,164.920715,1072.595581,345.530182,296.717468,910.218933,406.699036,359.074280,798.964417,339.150146,360.105133,819.408569,302.698914,244.981674,775.883606,291.969208,135.664581,746.093323,328.415710,124.799171,798.986145,295.058533,51.534534,787.508850,414.950134,-146.390915,1082.063232,289.040100,-228.705658,912.258789,262.314148,-214.092850,791.821533,232.020187,-249.580063,844.734497,107.273705,-228.180145,808.677795,17.446175,-211.673203,779.946045,16.495287,-155.021744,790.192383,-69.114418,-163.773880,778.370605,478.240204,6.264650,1130.105713,358.509705,20.864571,1088.768066,312.458801,4.272898,952.924683
7,0,384.024048,164.889328,1072.592407,345.587067,296.688629,910.199463,406.729858,359.056396,798.945984,338.957153,359.791687,819.278381,302.718536,245.004227,775.892212,291.969543,135.685303,746.108093,328.455200,124.768150,799.004639,295.076019,51.540157,787.528503,414.935516,-146.367676,1082.037720,289.027008,-228.699081,912.259827,262.291382,-214.094543,791.831543,231.997849,-249.586746,844.750671,107.263344,-228.193695,808.688171,17.367565,-211.669983,779.933960,16.487619,-155.028137,790.191406,-69.116310,-163.781036,778.375305,478.241333,6.280775,1130.104614,358.497650,20.878132,1088.764771,312.470123,4.300152,952.907471
8,0,384.022583,164.901321,1072.594238,345.615509,296.691162,910.172791,406.766968,358.975586,798.890747,338.961151,359.744171,819.244141,302.837463,244.950043,775.866699,291.971802,135.683014,746.125732,328.488281,124.753159,799.023071,295.102600,51.543457,787.557678,414.929749,-146.353210,1082.033203,289.003448,-228.702316,912.261963,262.284943,-214.119766,791.838562,231.997147,-249.589081,844.758240,107.240646,-228.180450,808.669250,17.428719,-211.670227,779.944275,16.474113,-155.031525,790.198547,-69.134460,-163.768311,778.371826,478.225281,6.297173,1130.097046,358.488525,20.906113,1088.763184,312.471375,4.320198,952.897461
9,0,384.037964,164.908585,1072.570557,345.667603,296.673615,910.125671,406.813385,358.946045,798.849609,338.890076,359.574707,819.150696,302.871002,244.922272,775.873047,291.968567,135.676239,746.142029,328.493835,124.730499,799.026367,295.123566,51.530949,787.557190,414.933929,-146.337814,1082.007202,288.978668,-228.703064,912.271667,262.272858,-214.130402,791.853638,231.981628,-249.592117,844.757629,107.231903,-228.192200,808.671936,17.369001,-211.477936,779.690430,16.463240,-155.033279,790.187439,-69.145767,-163.777206,778.364685,478.219116,6.295360,1130.099976,358.492615,20.901953,1088.749512,312.473877,4.350388,952.875793
