Trajectories
100
,,ValidationHealthy015:Rdeltoid,,,ValidationHealthy015:RMidArm,,,ValidationHealthy015:RElbRadial,,,ValidationHealthy015:RElbUlna,,,ValidationHealthy015:RMidForeArm,,,ValidationHealthy015:RWrist1,,,ValidationHealthy015:RWrist2,,,ValidationHealthy015:RFingerJoint,,,ValidationHealthy015:LDeltoid,,,ValidationHealthy015:LMidArm,,,ValidationHealthy015:LElbRadial,,,ValidationHealthy015:LElbUlna,,,ValidationHealthy015:LMidForearm,,,ValidationHealthy015:Lwrist1,,,ValidationHealthy015:LWrist2,,,ValidationHealthy015:LFingerJoint,,,ValidationHealthy015:C7,,,ValidationHealthy015:Neck,,,ValidationHealthy015:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,367.712616,88.349060,1067.788330,344.509521,189.761002,901.590271,,,,291.598480,248.080307,777.332031,176.334717,202.150269,803.325439,38.399742,211.205658,774.387268,35.878265,146.179901,783.388367,-54.301678,144.052597,787.224182,348.019470,-235.891357,1067.451538,299.185577,-350.833862,900.946838,366.240234,-398.816833,759.110168,292.572449,-415.718140,785.821960,252.788391,-296.943481,783.054565,242.805771,-171.329697,742.662292,259.409760,-170.228226,811.070007,248.498016,-74.597954,799.829041,434.437439,-79.994881,1093.212036,306.668121,-81.078728,1072.941772,288.244690,-69.744637,944.165649
2,0,367.734741,88.328461,1067.799683,344.550110,189.731262,901.598877,,,,291.612183,248.068817,777.342041,176.345901,202.155701,803.330200,37.955627,211.684814,774.800720,35.873615,146.170273,783.402344,-54.299339,144.048370,787.229370,348.004669,-235.912643,1067.439331,299.205719,-350.843140,900.928284,366.278320,-398.806915,759.109680,292.617126,-415.747833,785.828857,252.824875,-296.978729,783.070679,242.775024,-171.379181,742.685425,259.405212,-170.266129,811.094238,248.521057,-74.598541,799.857666,434.440674,-80.023544,1093.218140,306.685730,-81.135948,1072.951416,288.236359,-69.738892,944.162964
3,0,367.744720,88.314690,1067.802002,344.585785,189.677826,901.591248,,,,291.621338,248.054810,777.348145,176.352951,202.117126,803.319092,38.400787,211.189728,774.404175,35.878914,146.163467,783.395935,-54.293427,144.048126,787.229065,347.977142,-235.921478,1067.443115,299.208435,-350.830109,900.893250,366.305115,-398.780457,759.090576,292.667694,-415.754730,785.831360,252.820908,-297.011658,783.106323,242.715912,-171.427444,742.708923,259.361450,-170.300919,811.133301,248.410278,-74.912590,799.907043,434.434448,-80.034897,1093.213013,306.695068,-81.175522,1072.944702,288.255768,-69.738983,944.169373
4,0,367.745972,88.312202,1067.810425,344.591034,189.667587,901.598206,,,,291.632416,248.036102,777.360657,176.377258,202.096649,803.327820,38.406033,211.193817,774.413635,35.890205,146.158737,783.407593,-54.302025,144.056427,787.235229,347.965790,-235.933258,1067.450928,299.209839,-350.807007,900.868591,366.335815,-398.747162,759.066895,292.711151,-415.747223,785.833191,252.844101,-297.024414,783.171387,242.656631,-171.452026,742.748718,259.333099,-170.313202,811.184937,248.520493,-74.609283,799.914917,434.435120,-80.052177,1093.225830,306.695313,-81.201286,1072.944336,288.272064,-69.758423,944.128906
5,0,367.760803,88.297142,1067.800049,344.640991,189.628098,901.584229,,,,291.636536,248.017136,777.347717,176.374283,202.083145,803.314087,38.414967,211.173950,774.400513,35.887413,146.146820,783.397156,-54.362030,144.135956,787.149902,347.964844,-235.928833,1067.451904,299.223450,-350.772369,900.823181,366.345184,-398.690796,759.060608,292.749298,-415.729645,785.821289,252.813995,-297.019623,783.196960,242.561844,-171.471481,742.798584,259.274750,-170.320892,811.202942,248.511688,-74.640007,799.925293,434.425079,-80.053505,1093.232178,306.674774,-81.158813,1072.910645,288.266846,-69.777733,944.113403
6,0,367.758240,88.281586,1067.777100,344.651031,189.585846,901.558594,,,,291.647766,248.008820,777.341370,176.368576,202.058151,803.300537,38.395084,211.182632,774.411499,35.878197,146.142319,783.397339,-54.306633,144.069550,787.227661,347.978210,-235.950470,1067.458862,299.229889,-350.747467,900.792786,366.369354,-398.652191,759.045044,292.779510,-415.722717,785.816101,252.793945,-297.017670,783.220520,242.494781,-171.481613,742.845459,259.216522,-170.304871,811.234070,248.461212,-74.585373,799.924561,434.414886,-80.045868,1093.226196,306.679749,-81.147217,1072.885742,288.285492,-69.769867,944.107239
7,0,367.744659,88.257362,1067.770996,344.672546,189.553635,901.550720,,,,291.648987,248.001572,777.346375,176.360016,202.058762,803.291504,38.408661,211.151138,774.399536,35.867577,146.131424,783.395142,-54.314754,144.078232,787.225586,347.978333,-235.940826,1067.457397,299.237427,-350.724915,900.769348,366.360992,-398.606781,759.045593,292.787994,-415.710144,785.799805,252.771439,-297.017609,783.219421,242.427856,-171.478271,742.883240,259.167877,-170.303314,811.265442,248.431320,-74.587036,799.925598,434.414581,-80.056808,1093.238281,306.700104,-81.256317,1072.881836,288.345764,-69.755829,944.083923
8,0,367.728516,88.240067,1067.751953,344.676392,189.524765,901.543518,,,,291.657318,248.004654,777.334656,176.347610,202.084534,803.272644,38.410149,211.141068,774.399719,35.861198,146.131485,783.384521,-54.309628,144.079788,787.227722,347.999878,-235.948959,1067.473145,299.259491,-350.725067,900.774353,366.334229,-398.582092,759.028137,292.791229,-415.696350,785.800903,252.741867,-297.000122,783.216919,242.427155,-171.489395,742.873657,259.165802,-170.319107,811.276062,248.392242,-74.528641,799.927307,434.392548,-80.040520,1093.229126,306.688263,-81.257439,1072.862671,288.347168,-69.815376,944.090942
9,0,367.701233,88.217491,1067.739380,344.666260,189.509155,901.546082,,,,291.652557,247.989258,777.332947,176.341019,202.066223,803.277344,38.412277,211.132614,774.407349,35.858051,146.116669,783.392761,-54.313797,144.079422,787.235718,348.015717,-235.957748,1067.476929,299.285614,-350.734375,900.777527,366.311829,-398.576172,759.024780,292.785004,-415.687408,785.801453,252.732956,-296.991821,783.199463,242.451752,-171.486160,742.882080,259.180573,-170.327377,811.279663,248.389084,-74.539978,799.924377,434.384583,-80.035286,1093.239868,306.679138,-81.250305,1072.854492,288.387543,-69.832703,944.031250
10,0,367.660217,88.191292,1067.724854,344.644592,189.506790,901.545349,,,,291.648193,248.007874,777.335571,176.346344,202.046585,803.269226,38.405289,211.134460,774.406860,35.849556,146.100067,783.381897,-54.322456,144.070847,787.235413,348.038086,-235.961365,1067.481934,299.306244,-350.755096,900.775818,366.293793,-398.565979,759.012756,292.782257,-415.686829,785.779785,252.686020,-296.977997,783.176453,242.463104,-171.495117,742.852966,259.194397,-170.327393,811.245789,248.400330,-74.538132,799.901184,434.382690,-80.039818,1093.250366,306.678040,-81.304520,1072.837402,288.371399,-69.867546,944.026245
