Trajectories
100
,,ValidationHealthy015:Rdeltoid,,,ValidationHealthy015:RMidArm,,,ValidationHealthy015:RElbRadial,,,ValidationHealthy015:RElbUlna,,,ValidationHealthy015:RMidForeArm,,,ValidationHealthy015:RWrist1,,,ValidationHealthy015:RWrist2,,,ValidationHealthy015:RFingerJoint,,,ValidationHealthy015:LDeltoid,,,ValidationHealthy015:LMidArm,,,ValidationHealthy015:LElbRadial,,,ValidationHealthy015:LElbUlna,,,ValidationHealthy015:LMidForearm,,,ValidationHealthy015:Lwrist1,,,ValidationHealthy015:LWrist2,,,ValidationHealthy015:LFingerJoint,,,ValidationHealthy015:C7,,,ValidationHealthy015:Neck,,,ValidationHealthy015:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,372.933960,87.342987,1070.152954,366.530365,190.877258,902.900757,,,,326.899475,252.509857,777.346985,210.623871,207.850433,802.660095,73.426704,217.403412,775.804749,70.685280,152.118073,784.593079,-19.827862,149.657761,785.780518,347.925323,-234.229050,1069.589478,297.544556,-346.488861,899.753845,363.049042,-393.166748,755.809082,290.237610,-408.271149,782.974243,257.645966,-286.252655,784.220215,256.636688,-159.796585,747.817200,267.876221,-161.506546,817.517700,262.611938,-64.197899,805.986145,434.650787,-81.002670,1092.974609,309.429352,-80.646713,1067.237061,292.134613,-69.196228,941.077393
2,0,372.939789,87.325218,1070.141235,366.562500,190.827744,902.900940,,,,326.899597,252.495499,777.356995,210.616364,207.873001,802.665466,72.653770,217.945465,775.838440,70.682899,152.132004,784.603455,-19.833054,149.658752,785.782654,347.925720,-234.238327,1069.585449,297.558746,-346.501770,899.762390,363.053986,-393.180206,755.808350,290.235779,-408.276428,782.975891,257.644989,-286.269714,784.221741,256.633942,-159.805664,747.802673,267.872162,-161.510651,817.503235,262.600403,-64.197632,805.975952,434.659058,-81.001450,1092.965454,309.438965,-80.631050,1067.240601,292.146149,-69.223022,941.084839
3,0,372.955322,87.306473,1070.161987,366.593475,190.791794,902.910095,,,,326.919128,252.491241,777.379700,210.623734,207.857651,802.678406,72.652206,217.942093,775.853943,70.687180,152.114944,784.608032,-19.831779,149.660538,785.790527,347.941742,-234.255554,1069.597290,297.567383,-346.512085,899.764343,363.045380,-393.195404,755.810669,290.234802,-408.290588,782.987732,257.642792,-286.275482,784.223999,256.632385,-159.817184,747.817688,267.895416,-161.523087,817.517334,262.602356,-64.208038,805.975220,434.675323,-81.024788,1092.974731,309.459229,-80.669357,1067.245361,292.166840,-69.245819,941.092773
4,0,372.956665,87.296196,1070.162964,366.623047,190.772064,902.903931,,,,326.902802,252.468430,777.374146,210.628128,207.843582,802.678894,73.432144,217.387939,775.808716,70.682739,152.111343,784.614502,-19.826231,149.660431,785.788696,347.957733,-234.273941,1069.601440,297.579926,-346.526428,899.756226,363.041840,-393.190735,755.803772,290.236877,-408.295166,782.990845,257.639832,-286.271454,784.218933,256.632965,-159.829697,747.809753,267.884613,-161.519638,817.526428,262.617432,-64.216782,805.959351,434.684265,-81.029289,1092.971313,309.471771,-80.674538,1067.253174,292.185211,-69.244034,941.099487
5,0,372.962036,87.293991,1070.152344,366.611206,190.786697,902.907471,,,,326.910583,252.459442,777.365540,210.628754,207.835571,802.674072,73.456688,217.369293,775.806335,70.679077,152.110840,784.607056,-19.825445,149.652084,785.787903,347.979248,-234.288406,1069.602051,297.594055,-346.531006,899.759521,363.018097,-393.185059,755.806213,290.237244,-408.299896,782.978638,257.628540,-286.271332,784.214600,256.627167,-159.818802,747.819275,267.883179,-161.536575,817.520630,262.592072,-64.184967,805.966858,434.684387,-81.033226,1092.971313,309.492310,-80.721298,1067.253174,292.180908,-69.228340,941.124023
6,0,372.962036,87.287743,1070.149780,366.623322,190.788925,902.893677,,,,326.907013,252.453568,777.356873,210.627731,207.790436,802.670288,73.469856,217.349014,775.789856,70.673347,152.093781,784.599487,-19.832424,149.651733,785.783752,347.978333,-234.286621,1069.581299,297.593292,-346.522400,899.733032,362.995331,-393.166809,755.789063,290.220428,-408.288757,782.945190,257.628510,-286.233521,784.182800,256.626160,-159.818970,747.809265,267.895172,-161.549408,817.499207,262.569214,-64.174095,805.961426,434.689972,-81.045555,1092.968628,309.491180,-80.729362,1067.242798,292.192871,-69.261223,941.127686
7,0,372.960480,87.283859,1070.135010,366.627167,190.770233,902.889282,,,,326.903381,252.457565,777.360107,210.594391,207.835510,802.662109,72.802574,217.854309,775.836975,70.663750,152.091309,784.608765,-19.841698,149.687149,785.787109,347.993713,-234.301178,1069.594360,297.591888,-346.526459,899.729126,363.002502,-393.175812,755.799805,290.219818,-408.284912,782.940369,257.615265,-286.202484,784.163696,256.631927,-159.800827,747.821228,267.906342,-161.545013,817.506775,262.559814,-64.134735,805.962219,434.685120,-81.027176,1092.956055,309.492889,-80.717888,1067.250122,292.185822,-69.252563,941.094971
8,0,372.975281,87.267799,1070.141113,366.657806,190.743896,902.896545,,,,326.892883,252.432587,777.360901,210.613998,207.796265,802.663513,73.515190,217.297958,775.773376,70.669975,152.075180,784.603638,-19.839701,149.669006,785.781494,347.990051,-234.306107,1069.572998,297.588257,-346.522156,899.699524,362.971497,-393.152832,755.787048,290.212128,-408.291870,782.919434,257.624756,-286.183197,784.137390,256.629425,-159.814819,747.802002,267.906830,-161.576523,817.488892,262.520386,-64.170509,805.941589,434.689850,-81.037842,1092.959839,309.517609,-80.767921,1067.241943,292.193176,-69.257973,941.108398
9,0,372.970337,87.268990,1070.137451,366.649841,190.748352,902.895813,,,,326.895966,252.430618,777.355103,210.607941,207.795578,802.656799,72.916077,217.761703,775.816162,70.656876,152.081985,784.597778,-19.839214,149.683807,785.778015,347.998932,-234.319519,1069.585815,297.576874,-346.518585,899.691406,362.952637,-393.151794,755.797180,290.206116,-408.289246,782.904358,257.612762,-286.172882,784.117554,256.648834,-159.812820,747.789001,267.911011,-161.575638,817.476501,262.498749,-64.200974,805.918213,434.692413,-81.040047,1092.958130,309.526733,-80.784233,1067.233276,292.199860,-69.298904,941.090820
