Trajectories
100
,,ValidationHealthy015:Rdeltoid,,,ValidationHealthy015:RMidArm,,,ValidationHealthy015:RElbRadial,,,ValidationHealthy015:RElbUlna,,,ValidationHealthy015:RMidForeArm,,,ValidationHealthy015:RWrist1,,,ValidationHealthy015:RWrist2,,,ValidationHealthy015:RFingerJoint,,,ValidationHealthy015:LDeltoid,,,ValidationHealthy015:LMidArm,,,ValidationHealthy015:LElbRadial,,,ValidationHealthy015:LElbUlna,,,ValidationHealthy015:LMidForearm,,,ValidationHealthy015:Lwrist1,,,ValidationHealthy015:LWrist2,,,ValidationHealthy015:LFingerJoint,,,ValidationHealthy015:C7,,,ValidationHealthy015:Neck,,,ValidationHealthy015:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,372.063904,82.652344,1069.156128,366.143524,187.618271,902.849548,,,,327.711823,250.816971,778.403076,211.109558,207.049683,802.826416,72.913696,218.030060,775.624207,70.693726,152.110901,784.593689,-19.785921,149.997818,786.129272,350.644073,-239.573349,1068.751831,306.204315,-352.784271,897.744934,376.713440,-397.681793,756.192993,302.411713,-414.342529,779.262085,266.650238,-292.994110,778.466797,259.399200,-167.299606,738.984436,272.787598,-167.370056,808.077026,259.323730,-71.856194,797.413269,439.494781,-85.227699,1089.504395,311.712830,-86.103600,1069.313843,294.175171,-74.890800,940.042419
2,0,372.086975,82.671684,1069.157593,366.136597,187.635010,902.853699,,,,327.723389,250.807938,778.401245,211.111816,207.063538,802.826965,72.929329,218.027802,775.627869,70.691467,152.103058,784.602417,-19.786417,150.003403,786.133911,350.673035,-239.571625,1068.744385,306.225677,-352.783173,897.746704,376.706879,-397.664459,756.187500,302.425110,-414.336243,779.270508,266.656311,-293.000549,778.472717,259.415009,-167.296631,738.975952,272.798187,-167.356552,808.064087,259.340271,-71.847427,797.414551,439.517578,-85.231056,1089.519531,311.747620,-86.101021,1069.325684,294.191681,-74.877785,940.086365
3,0,372.115387,82.676720,1069.168091,366.141663,187.639801,902.858765,,,,327.722107,250.821686,778.408630,211.109894,207.065216,802.837341,72.927925,218.031998,775.636292,70.695587,152.110199,784.614441,-19.780678,149.993622,786.147034,350.705383,-239.578156,1068.762817,306.239075,-352.772614,897.754761,376.709290,-397.660980,756.199646,302.432739,-414.340424,779.291992,266.657257,-292.994843,778.499817,259.422455,-167.286728,738.986084,272.806091,-167.353119,808.084167,259.352142,-71.800499,797.427979,439.530212,-85.209236,1089.519897,311.768768,-86.081581,1069.342041,294.210541,-74.869522,940.102478
4,0,372.122009,82.688972,1069.177612,366.159729,187.630630,902.866943,,,,327.732849,250.823227,778.424438,211.115936,207.054214,802.838074,72.921173,218.034286,775.639221,70.698547,152.106018,784.610901,-19.779148,149.990509,786.139893,350.731476,-239.561768,1068.760254,306.249207,-352.753143,897.755188,376.707581,-397.644135,756.188721,302.430176,-414.325470,779.300415,266.662384,-292.979889,778.499756,259.436096,-167.266174,738.997070,272.814789,-167.337479,808.085083,259.381012,-71.828018,797.426758,439.544556,-85.207962,1089.525269,311.764954,-86.071945,1069.352661,294.226868,-74.836716,940.125610
5,0,372.139862,82.700874,1069.165283,366.221710,187.597626,902.861694,,,,327.731079,250.815781,778.405701,211.112946,207.067566,802.832397,72.969658,218.010803,775.635254,70.698792,152.103836,784.607544,-19.780884,149.996857,786.139282,350.761169,-239.535172,1068.756348,306.261292,-352.720215,897.743835,376.694244,-397.622742,756.197815,302.430542,-414.308289,779.290161,266.628540,-292.945313,778.489319,259.437103,-167.253387,738.985352,272.812286,-167.325912,808.073669,259.352234,-71.745552,797.422668,439.562439,-85.175682,1089.517700,311.775085,-86.027222,1069.357544,294.252502,-74.829163,940.134888
6,0,372.165771,82.714447,1069.153076,366.210632,187.632950,902.850708,,,,327.726227,250.804962,778.398010,211.117615,207.074692,802.830444,73.010155,217.980148,775.625061,70.697060,152.101349,784.602173,-19.784300,149.999771,786.138672,350.792694,-239.518204,1068.762329,306.254578,-352.691101,897.721191,376.676422,-397.603149,756.210266,302.425964,-414.287445,779.283264,266.608521,-292.925110,778.477844,259.434113,-167.239746,738.984436,272.804688,-167.317291,808.070557,259.321808,-71.703705,797.411499,439.578552,-85.148079,1089.519775,311.786530,-86.022423,1069.372314,294.288727,-74.806061,940.121826
7,0,372.199829,82.714211,1069.143433,366.238220,187.625168,902.845215,,,,327.724213,250.814743,778.395752,211.110367,207.066696,802.824646,73.037888,217.959015,775.615601,70.680511,152.107803,784.593689,-19.786503,149.997742,786.135315,350.813690,-239.506393,1068.756470,306.247589,-352.659821,897.711243,376.656067,-397.576019,756.206848,302.417053,-414.271149,779.280029,266.580780,-292.881561,778.458130,259.420746,-167.234177,738.958862,272.795654,-167.305634,808.065125,259.298492,-71.643997,797.393433,439.589508,-85.110352,1089.514038,311.810699,-85.999329,1069.383911,294.308929,-74.806526,940.102539
8,0,372.242218,82.713806,1069.140259,366.268799,187.621231,902.839600,,,,327.724243,250.822632,778.396790,211.114761,207.057816,802.819092,73.077423,217.941986,775.607422,70.675819,152.106796,784.593994,-19.788002,150.000320,786.133545,350.837982,-239.513931,1068.778076,306.259003,-352.646301,897.710876,376.643829,-397.555420,756.226440,302.414825,-414.261536,779.279236,266.562378,-292.844269,778.440430,259.411621,-167.234497,738.948242,272.803589,-167.310455,808.070801,259.281830,-71.626953,797.378296,439.608032,-85.106041,1089.507202,311.831818,-85.984764,1069.392822,294.329346,-74.805557,940.137329
9,0,372.267151,82.724449,1069.114624,366.294556,187.609024,902.833618,,,,327.715057,250.825256,778.391846,211.114746,207.052444,802.817383,73.112961,217.894424,775.594910,70.671333,152.105301,784.593506,-19.791872,150.007828,786.130371,350.839813,-239.505646,1068.766357,306.247192,-352.628662,897.709045,376.636780,-397.558228,756.239563,302.407013,-414.262604,779.281677,266.531494,-292.831360,778.435852,259.404480,-167.228424,738.949463,272.798431,-167.306137,808.067444,259.275970,-71.595512,797.377869,439.619812,-85.100365,1089.498535,311.853943,-85.989548,1069.394287,294.347687,-74.820496,940.126770
