Trajectories
100
,,ValidationHealthy002:Rdeltoid,,,ValidationHealthy002:RMidArm,,,ValidationHealthy002:RElbRadial,,,ValidationHealthy002:RElbUlna,,,ValidationHealthy002:RMidForeArm,,,ValidationHealthy002:RWrist1,,,ValidationHealthy002:RWrist2,,,ValidationHealthy002:RFingerJoint,,,ValidationHealthy002:LDeltoid,,,ValidationHealthy002:LMidArm,,,ValidationHealthy002:LElbRadial,,,ValidationHealthy002:LElbUlna,,,ValidationHealthy002:LMidForearm,,,ValidationHealthy002:Lwrist1,,,ValidationHealthy002:LWrist2,,,ValidationHealthy002:LFingerJoint,,,ValidationHealthy002:C7,,,ValidationHealthy002:Neck,,,ValidationHealthy002:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,279.572174,70.604355,1017.898682,258.870514,177.967789,836.185486,,,,241.332764,212.986176,741.909241,188.660812,95.254951,711.627380,189.120758,-9.740922,672.096130,183.100449,-21.370243,739.962402,158.005478,-92.912643,717.945007,304.207977,-290.050323,1029.904419,241.792297,-362.887573,867.905884,169.900650,-359.216125,734.569763,175.726059,-411.948456,784.406799,44.157711,-403.990967,802.061340,-57.963108,-443.740387,761.512451,-71.958900,-382.350464,779.534180,-143.114731,-402.057465,787.955322,364.329834,-93.990784,1082.004517,252.915405,-90.853378,1033.862793,199.579712,-90.964020,915.411133
2,0,279.589935,70.573013,1017.906921,258.838287,177.932999,836.189331,,,,241.331146,212.963425,741.915283,188.659103,95.245216,711.640930,189.124161,-9.739464,672.117554,183.107697,-21.375278,739.943970,158.016190,-92.934845,717.958984,304.212708,-290.059418,1029.906982,241.795975,-362.900543,867.906128,169.914566,-359.219757,734.570984,175.728958,-411.957977,784.411743,44.158123,-404.006042,802.068787,-57.966549,-443.772888,761.533203,-71.962875,-382.364014,779.546143,-143.116531,-402.054749,787.967102,364.271881,-93.949387,1081.940674,252.917831,-90.862038,1033.872925,199.556351,-91.006233,915.415161
3,0,279.595947,70.566856,1017.893677,258.832947,177.932037,836.203247,,,,241.343643,212.957596,741.913757,188.674515,95.232880,711.641724,189.115814,-9.752640,672.117310,183.120590,-21.394562,739.934204,158.031525,-92.939713,717.956787,304.223236,-290.077515,1029.904297,241.803055,-362.912018,867.900818,169.899261,-359.222443,734.575928,175.740097,-411.994385,784.415527,44.167740,-404.002167,802.067932,-57.960667,-443.778076,761.531189,-71.959641,-382.369354,779.547974,-143.103867,-402.076691,787.971619,361.525909,-91.300835,1080.239258,252.897919,-90.850067,1033.876099,199.522186,-90.982368,915.450745
4,0,279.573029,70.538559,1017.884583,258.819672,177.892990,836.181519,,,,241.333145,212.956558,741.910156,188.656418,95.235069,711.633972,189.120041,-9.778800,672.102295,183.102234,-21.404585,739.928833,158.051285,-92.950645,717.953369,304.235046,-290.084778,1029.894531,241.807541,-362.917572,867.898804,169.892822,-359.212463,734.567749,175.740219,-411.975220,784.409363,44.160187,-404.006989,802.065857,-57.964176,-443.821075,761.554626,-71.963562,-382.370728,779.550293,-143.114410,-402.063568,787.957642,,,,252.882065,-90.893753,1033.871582,199.503632,-90.962990,915.438904
5,0,279.556885,70.498810,1017.875183,258.828217,177.894226,836.170959,,,,241.359695,212.979385,741.918518,188.658432,95.211502,711.620728,189.128204,-9.780672,672.090820,183.100128,-21.408499,739.908569,158.067932,-92.977982,717.917358,304.232605,-290.100189,1029.889771,241.812775,-362.932190,867.896240,169.888412,-359.222534,734.547241,175.735229,-411.977814,784.395691,44.158833,-403.994598,802.054626,-57.969170,-443.842499,761.549438,-71.971405,-382.374481,779.539734,-143.131210,-402.045898,787.953369,361.545258,-91.396126,1080.249268,252.844666,-90.919266,1033.881958,199.553146,-91.015839,915.374634
6,0,279.553925,70.469688,1017.859924,258.838928,177.899612,836.163208,,,,241.388397,213.012573,741.919006,188.680649,95.205223,711.608887,189.141266,-9.807768,672.071289,183.099274,-21.406086,739.901917,158.056442,-92.988541,717.912720,304.232849,-290.118500,1029.887695,241.820618,-362.957214,867.898865,169.879059,-359.242615,734.544983,175.734833,-411.993744,784.399902,44.149780,-403.990570,802.050171,-57.968678,-443.809418,761.537537,-71.980942,-382.369080,779.537109,-143.146286,-402.037598,787.947754,,,,252.788010,-90.935364,1033.906738,199.494293,-90.980133,915.409058
7,0,279.560089,70.419426,1017.827271,258.856781,177.909531,836.157654,,,,241.409103,212.984955,741.928101,188.693054,95.194931,711.595093,189.142105,-9.803341,672.066650,183.110046,-21.424814,739.899414,158.071304,-93.002251,717.889954,304.227753,-290.145966,1029.892334,241.824875,-362.975281,867.883301,169.875473,-359.257263,734.537292,175.735367,-412.013763,784.398499,44.144104,-403.992004,802.040649,-57.964104,-443.784271,761.518494,-71.989044,-382.380341,779.535034,-143.143784,-402.038483,787.955627,361.481934,-91.356651,1080.212036,252.753235,-90.992546,1033.941650,199.458176,-90.952339,915.454895
8,0,279.565948,70.423836,1017.838806,258.875488,177.890549,836.165649,,,,241.440506,213.048462,741.932312,188.708359,95.160812,711.573914,189.154541,-9.817704,672.064636,183.105225,-21.415804,739.905151,158.077576,-93.050621,717.866272,304.222015,-290.175385,1029.893799,241.822098,-363.000122,867.886292,169.882217,-359.277191,734.549988,175.728653,-412.040680,784.387024,44.143288,-404.000214,802.042603,-57.947536,-443.723938,761.471924,-71.993111,-382.392517,779.542236,-143.151230,-402.037354,787.957275,361.481781,-91.376068,1080.203857,252.704926,-91.002205,1033.939087,199.682663,-90.980865,915.382935
9,0,279.550537,70.383202,1017.829407,258.892944,177.874817,836.163818,,,,241.464691,213.055618,741.950439,188.736526,95.153053,711.567200,189.186859,-9.848255,672.051941,183.108017,-21.433073,739.905212,158.079803,-93.062279,717.855713,304.198364,-290.187073,1029.897339,241.823715,-363.026093,867.878601,169.883118,-359.307251,734.566345,175.729843,-412.070038,784.381653,44.146481,-404.006989,802.046265,-57.953941,-443.753235,761.479919,-71.991028,-382.398254,779.545105,-143.162567,-402.039459,787.967529,,,,252.693207,-91.034363,1033.964600,199.440582,-91.049278,915.399536
