Trajectories
100
,,ValidationHealthy001:Rdeltoid,,,ValidationHealthy001:RMidArm,,,ValidationHealthy001:RElbRadial,,,ValidationHealthy001:RElbUlna,,,ValidationHealthy001:RMidForeArm,,,ValidationHealthy001:RWrist1,,,ValidationHealthy001:RWrist2,,,ValidationHealthy001:RFingerJoint,,,ValidationHealthy001:LDeltoid,,,ValidationHealthy001:LMidArm,,,ValidationHealthy001:LElbRadial,,,ValidationHealthy001:LElbUlna,,,ValidationHealthy001:LMidForearm,,,ValidationHealthy001:Lwrist1,,,ValidationHealthy001:LWrist2,,,ValidationHealthy001:LFingerJoint,,,ValidationHealthy001:C7,,,ValidationHealthy001:Neck,,,ValidationHealthy001:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,481.271606,94.671913,1023.277039,435.662048,221.104996,875.938049,,,,417.646210,279.830383,785.235901,360.108917,167.858017,776.790833,337.181091,68.078583,742.779907,383.022034,54.983650,794.232239,354.335144,-30.697956,796.354614,530.289978,-163.448914,1034.852539,494.312103,-283.427124,885.965088,476.893127,-287.309814,739.247314,463.835144,-340.323578,791.594299,349.610199,-332.538971,794.083923,239.960434,-341.643707,745.141052,240.066330,-274.352386,767.984680,163.068970,-292.506989,773.082886,565.398926,-22.401144,1073.350342,451.206329,-47.304020,1032.673096,416.861298,-46.508503,927.934753
2,0,481.256683,94.657860,1023.304077,435.636047,221.090927,875.958984,,,,417.609406,279.798920,785.244019,360.083344,167.825714,776.796814,337.143433,68.069595,742.802673,382.994049,54.953663,794.257629,354.311951,-30.723038,796.398071,530.296143,-163.448013,1034.857910,494.322296,-283.436157,885.973450,476.879486,-287.275299,739.301697,463.834320,-340.338379,791.599060,349.604431,-332.550873,794.083679,239.950943,-341.649841,745.141846,240.065475,-274.366089,767.999756,163.072479,-292.509857,773.091187,565.409973,-22.401007,1073.352417,451.217804,-47.329395,1032.690308,416.825684,-46.530014,927.975098
3,0,481.238007,94.666275,1023.304810,436.789734,218.312363,875.313110,,,,417.582275,279.810364,785.248291,362.530701,167.087082,775.150085,337.107422,68.038086,742.814270,382.965424,54.936890,794.280518,354.271759,-30.734360,796.431152,530.296143,-163.460175,1034.875244,494.335815,-283.455048,885.979004,476.902771,-287.388428,739.247314,463.833252,-340.343536,791.601501,349.596375,-332.559875,794.073853,239.946259,-341.659790,745.143066,240.057953,-274.369690,767.994446,163.074203,-292.513885,773.085571,565.421875,-22.416195,1073.346924,451.222626,-47.348862,1032.714844,416.812561,-46.564304,928.007141
4,0,481.218414,94.664764,1023.313416,436.738922,218.293732,875.317383,,,,417.549164,279.790955,785.258057,362.502411,167.064590,775.161316,337.078522,68.043335,742.837585,382.924988,54.916458,794.302307,354.255676,-30.740229,796.460083,530.305969,-163.476364,1034.904053,494.344849,-283.465881,885.981567,476.912048,-287.355438,739.244507,463.833099,-340.349762,791.599243,349.591064,-332.565765,794.070496,239.949036,-341.658173,745.146606,240.057404,-274.378235,768.002502,163.067642,-292.521149,773.090332,565.441284,-22.428297,1073.347656,451.236084,-47.352562,1032.723633,416.778687,-46.575314,928.043335
5,0,481.197205,94.650826,1023.336304,436.641541,218.358673,875.334656,,,,417.524139,279.760376,785.257446,362.474304,167.059662,775.167786,337.052765,68.028046,742.849976,382.900574,54.938999,794.342346,354.213257,-30.740921,796.488770,530.304810,-163.470901,1034.904419,494.340485,-283.457184,885.972900,474.987152,-286.250366,739.567566,463.833771,-340.358429,791.605957,349.588226,-332.574738,794.073792,239.952881,-341.663086,745.143372,240.050766,-274.379028,767.998413,163.064545,-292.520721,773.086426,565.442871,-22.404284,1073.350952,451.252716,-47.367859,1032.733398,416.747253,-46.593319,928.064880
6,0,481.161804,94.649239,1023.333557,436.552063,218.396851,875.327942,,,,417.502258,279.737122,785.258057,362.452820,167.045547,775.163696,337.025055,68.013977,742.860840,382.851654,54.951946,794.357178,354.193359,-30.756708,796.506714,530.291748,-163.474075,1034.904541,494.338318,-283.454254,885.958313,476.683807,-287.187683,739.302002,463.836670,-340.365723,791.611877,349.593811,-332.577271,794.064392,239.962646,-341.670288,745.144470,240.052582,-274.379517,767.984497,163.059952,-292.513000,773.085083,565.439392,-22.366257,1073.351563,451.276764,-47.365215,1032.729858,416.711121,-46.592690,928.086853
7,0,481.142670,94.645241,1023.345459,436.531708,218.379196,875.328003,,,,417.483643,279.715973,785.275330,360.426605,167.515533,776.469971,337.015137,67.994202,742.868896,382.826599,54.921860,794.375183,354.174194,-30.761461,796.531799,530.296204,-163.491272,1034.917480,494.335846,-283.451691,885.958069,476.608734,-287.126434,739.336792,463.838440,-340.381317,791.615234,349.589844,-332.578186,794.065002,239.959473,-341.666229,745.135071,240.056046,-274.381927,767.975769,163.051636,-292.517456,773.082886,565.437805,-22.355120,1073.357544,451.284302,-47.391041,1032.734863,416.665894,-46.598808,928.126648
8,0,481.132721,94.647484,1023.350708,436.481720,218.337326,875.340881,,,,417.459137,279.710083,785.286743,360.532104,167.421738,776.376831,336.981659,67.961021,742.902832,382.795532,54.901669,794.402161,354.153900,-30.782785,796.566040,530.261719,-163.471039,1034.927002,494.335999,-283.456970,885.968994,476.446503,-287.055725,739.379089,463.836456,-340.387573,791.629944,349.599457,-332.583221,794.073669,239.959778,-341.675781,745.138977,240.060501,-274.389038,767.973938,163.036255,-292.504852,773.085693,565.438538,-22.334059,1073.364624,451.291901,-47.392639,1032.745361,416.623901,-46.609409,928.158020
9,0,481.100677,94.650162,1023.362854,436.429718,218.326889,875.315735,,,,417.444336,279.715485,785.304077,362.357483,167.001785,775.193542,336.971497,67.935997,742.926270,382.771179,54.929409,794.453003,354.137512,-30.803545,796.579773,530.261902,-163.476517,1034.942505,494.326538,-283.458282,885.975586,476.403961,-287.025208,739.419312,463.828918,-340.399841,791.636780,349.605621,-332.586823,794.077698,239.961884,-341.685730,745.145264,240.056580,-274.384735,767.970825,163.033234,-292.507324,773.097168,565.433105,-22.317179,1073.361084,451.312805,-47.399250,1032.756592,416.610626,-46.623688,928.169128
