Trajectories
100
,,ValidationHealthy001:Rdeltoid,,,ValidationHealthy001:RMidArm,,,ValidationHealthy001:RElbRadial,,,ValidationHealthy001:RElbUlna,,,ValidationHealthy001:RMidForeArm,,,ValidationHealthy001:RWrist1,,,ValidationHealthy001:RWrist2,,,ValidationHealthy001:RFingerJoint,,,ValidationHealthy001:LDeltoid,,,ValidationHealthy001:LMidArm,,,ValidationHealthy001:LElbRadial,,,ValidationHealthy001:LElbUlna,,,ValidationHealthy001:LMidForearm,,,ValidationHealthy001:Lwrist1,,,ValidationHealthy001:LWrist2,,,ValidationHealthy001:LFingerJoint,,,ValidationHealthy001:C7,,,ValidationHealthy001:Neck,,,ValidationHealthy001:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,489.866241,102.285957,1019.191284,457.557190,227.582123,868.761475,,,,450.032227,286.909363,777.456726,382.531647,180.368729,772.424255,345.119171,82.739601,743.780334,393.954620,67.931282,790.895691,364.437622,-14.241591,799.778198,534.832642,-159.386444,1036.028564,498.783173,-281.946442,887.708679,482.801086,-287.540009,740.378784,469.971588,-339.939331,793.433655,355.842346,-332.359558,794.894409,244.849106,-342.613495,748.078308,247.682068,-272.880493,764.340210,170.487488,-284.774231,768.512207,574.118164,-14.914806,1071.348877,459.097382,-39.908318,1036.276611,421.069427,-42.765888,931.686829
2,0,489.852844,102.278053,1019.172546,457.548340,227.574142,868.749634,,,,450.049164,286.929749,777.433716,382.553467,180.361008,772.404480,345.130524,82.762238,743.740295,393.968414,67.935959,790.846802,364.458130,-14.217751,799.741943,534.798950,-159.382095,1036.018433,498.761261,-281.944061,887.696106,482.779999,-287.486572,740.377869,469.969055,-339.946655,793.430908,355.843994,-332.365234,794.888550,244.838913,-342.615265,748.060669,247.676239,-272.875366,764.324829,170.477417,-284.768463,768.501709,574.078430,-14.914708,1071.343262,459.074829,-39.913609,1036.265015,421.063690,-42.767483,931.657715
3,0,489.835419,102.286156,1019.165039,457.557922,227.586121,868.746216,,,,450.039185,286.931122,777.437683,382.571320,180.384766,772.391113,345.152039,82.762741,743.723938,393.991089,67.937630,790.822388,364.473969,-14.205839,799.709595,534.788757,-159.402481,1036.025024,498.750946,-281.939575,887.704590,484.707031,-289.315552,738.777161,469.973724,-339.947601,793.437683,355.836578,-332.351959,794.886841,244.845474,-342.612396,748.064514,247.682465,-272.878967,764.328369,170.473938,-284.772522,768.503723,574.062805,-14.905342,1071.337280,459.054382,-39.900665,1036.254272,421.061859,-42.760723,931.634277
4,0,489.823242,102.272781,1019.162415,457.550659,227.586594,868.748474,,,,450.041962,286.947754,777.449402,382.585114,180.347977,772.381470,345.170685,82.757401,743.702026,393.995117,67.949608,790.820251,364.501465,-14.206923,799.685547,534.769043,-159.380753,1036.015869,498.737305,-281.928589,887.710449,482.810852,-287.539429,740.358826,469.969849,-339.942810,793.444519,355.841949,-332.348572,794.910950,244.839996,-342.601501,748.055176,247.680771,-272.884827,764.330444,170.481918,-284.773834,768.508057,574.058716,-14.916961,1071.346069,459.046509,-39.909332,1036.252441,421.074890,-42.761238,931.613159
5,0,489.802216,102.280472,1019.160278,457.547272,227.582367,868.734497,,,,450.050751,286.930542,777.441711,382.604065,180.376572,772.357849,345.206329,82.744675,743.679932,394.019440,67.949867,790.787964,364.522003,-14.222923,799.658325,534.753845,-159.355377,1036.015625,498.714264,-281.911804,887.703247,482.865540,-287.552795,740.352661,469.960541,-339.959869,793.457031,355.835632,-332.334717,794.909729,244.830017,-342.587952,748.045105,247.680237,-272.882446,764.314026,170.474762,-284.758667,768.509399,574.017029,-14.872891,1071.347900,459.027863,-39.909538,1036.252441,421.059662,-42.735291,931.597046
6,0,489.799286,102.283318,1019.166260,457.545746,227.575546,868.725586,,,,450.063660,286.933685,777.441650,382.635803,180.381058,772.322510,345.233978,82.742935,743.671143,394.025574,67.969627,790.764954,364.540466,-14.209232,799.628296,534.745483,-159.341110,1036.006714,498.700531,-281.893921,887.687317,484.657776,-289.236084,738.834656,469.954803,-339.957031,793.458679,355.831696,-332.326172,794.913757,244.833817,-342.587250,748.046204,247.697586,-272.878021,764.306946,170.458939,-284.753052,768.514709,574.005188,-14.869180,1071.358154,459.018463,-39.900978,1036.236694,421.057739,-42.723892,931.593567
7,0,489.783478,102.300438,1019.136902,457.554932,227.577194,868.708862,,,,450.071838,286.928101,777.421204,382.643188,180.399857,772.273804,345.263794,82.737732,743.633118,394.033539,67.988861,790.747375,364.563324,-14.208814,799.589172,534.726135,-159.312668,1036.004761,498.689606,-281.865540,887.666748,482.909668,-287.599945,740.286316,469.949707,-339.961365,793.459473,355.819855,-332.317688,794.909424,244.842651,-342.601807,748.057312,247.694122,-272.885132,764.290527,170.456848,-284.752380,768.513672,573.975952,-14.823009,1071.351929,459.003784,-39.882568,1036.225464,421.045502,-42.687130,931.575195
8,0,489.790375,102.293304,1019.127747,457.544952,227.573135,868.695190,,,,450.075043,286.920441,777.416748,382.679413,180.386414,772.228271,345.289642,82.733421,743.593811,394.058624,67.983429,790.738281,364.596741,-14.212453,799.554749,534.706421,-159.295364,1035.999023,498.685791,-281.843750,887.655212,483.027344,-287.699402,740.211609,469.946594,-339.962769,793.452759,355.824097,-332.311798,794.905823,244.843964,-342.599243,748.043091,247.698517,-272.889374,764.271423,170.452194,-284.755249,768.507813,573.940308,-14.787773,1071.359131,458.981262,-39.894333,1036.219116,421.037384,-42.677277,931.557800
9,0,489.783569,102.283218,1019.118530,457.560760,227.572525,868.698425,,,,450.081848,286.913391,777.410278,382.717102,180.397400,772.160339,345.319183,82.732239,743.579956,394.071899,67.987083,790.713623,364.616943,-14.208220,799.528748,534.686218,-159.283859,1035.996460,498.689758,-281.835083,887.641174,483.149872,-287.827454,740.153076,469.936127,-339.964294,793.454651,355.810486,-332.316193,794.907349,244.833160,-342.590851,748.034790,247.702347,-272.899689,764.270996,170.442001,-284.757019,768.524658,573.914001,-14.767369,1071.378296,458.966949,-39.888916,1036.222778,421.026489,-42.654583,931.550598
