Trajectories
100
,,ValidationHealth004:Rdeltoid,,,ValidationHealth004:RMidArm,,,ValidationHealth004:RElbRadial,,,ValidationHealth004:RElbUlna,,,ValidationHealth004:RMidForeArm,,,ValidationHealth004:RWrist1,,,ValidationHealth004:RWrist2,,,ValidationHealth004:RFingerJoint,,,ValidationHealth004:LDeltoid,,,ValidationHealth004:LMidArm,,,ValidationHealth004:LElbRadial,,,ValidationHealth004:LElbUlna,,,ValidationHealth004:LMidForearm,,,ValidationHealth004:Lwrist1,,,ValidationHealth004:LWrist2,,,ValidationHealth004:LFingerJoint,,,ValidationHealth004:C7,,,ValidationHealth004:Neck,,,ValidationHealth004:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,305.395477,213.082123,1111.523926,281.451050,298.266602,912.227722,,,,295.035065,358.521027,788.115662,219.652649,243.003265,785.331116,196.214264,118.185539,745.485168,206.705704,103.007156,825.215698,190.090439,16.765617,797.867249,315.647827,-182.367172,1115.143677,283.038086,-263.396759,911.601746,290.664215,-221.205032,751.341431,273.276459,-298.012726,801.373108,148.001846,-231.363739,813.055115,28.893736,-270.515503,759.344299,25.962788,-192.760193,783.264893,-55.156799,-213.647675,808.328247,246.319763,3.386099,1110.662354,,,,225.010330,10.694193,976.359131
2,0,305.390594,213.116745,1111.526611,281.444061,298.258881,912.225098,,,,295.028320,358.517059,788.117065,219.647202,243.010605,785.326721,196.229324,118.167366,745.494080,206.751114,102.990311,825.198975,190.120712,16.753145,797.853027,315.653381,-182.399002,1115.135620,283.029022,-263.409882,911.585144,290.693878,-221.228622,751.348938,273.268524,-298.020966,801.355896,148.001709,-231.376434,813.039368,28.891697,-270.519684,759.342224,25.971193,-192.766266,783.259827,-55.159954,-213.635437,808.327332,246.312073,3.378314,1110.661499,,,,225.146606,10.593614,976.338989
3,0,305.307220,212.974869,1111.523926,281.450104,298.246399,912.221375,,,,295.017548,358.507324,788.120239,219.635086,243.071121,785.341858,196.261627,118.159264,745.485107,206.778275,102.963409,825.194092,189.650146,15.175246,798.753906,315.642273,-182.437820,1115.126953,283.022491,-263.424622,911.576477,290.685028,-221.238586,751.333374,273.270782,-298.038727,801.341980,148.012543,-231.385834,813.044434,28.886894,-270.526001,759.337769,25.981466,-192.776794,783.273804,-55.145161,-213.653107,808.335632,246.304565,3.375863,1110.657593,,,,225.330383,10.718546,976.090515
4,0,305.325745,213.001511,1111.531128,281.443878,298.241028,912.216919,,,,295.013611,358.498535,788.131958,219.644653,243.023376,785.335876,196.311264,118.122299,745.484436,206.809036,102.946198,825.195496,190.205276,16.699474,797.828247,315.639526,-182.462692,1115.119385,283.016235,-263.446228,911.560974,290.670502,-221.242645,751.325867,273.273102,-298.050690,801.319092,148.018585,-231.404633,813.032288,28.889360,-270.529205,759.335449,25.985912,-192.781723,783.267212,-55.144016,-213.657410,808.338623,246.284012,3.328931,1110.672852,,,,225.152054,10.605262,976.263855
5,0,305.307983,212.968445,1111.526611,281.436707,298.204681,912.220093,,,,295.014343,358.465607,788.136780,219.698975,242.861649,785.302795,196.340744,118.126045,745.483154,206.845154,102.919151,825.186279,190.252075,16.681292,797.828186,315.637329,-182.498352,1115.101929,282.999176,-263.464386,911.537109,290.688782,-221.258133,751.296997,273.265839,-298.071747,801.302429,148.034241,-231.426010,813.027710,28.883669,-270.531891,759.331482,25.987940,-192.808426,783.256348,-55.144806,-213.656143,808.343872,246.275894,3.236800,1110.669800,,,,224.984421,10.659113,976.257019
6,0,305.312927,212.935242,1111.518311,281.450470,298.166565,912.230347,,,,295.028351,358.444855,788.145691,219.699509,242.935822,785.340576,196.371277,118.095673,745.493225,206.880753,102.893028,825.195801,190.190613,16.400259,797.990723,315.641693,-182.528717,1115.072998,282.994812,-263.492676,911.512756,290.689789,-221.277939,751.268982,273.266449,-298.098358,801.283752,148.036148,-231.468048,813.031860,28.885916,-270.537567,759.319031,25.983915,-192.813461,783.241882,-55.141186,-213.654053,808.334167,246.256866,3.197753,1110.661865,,,,225.048004,10.583979,976.263855
7,0,305.296661,212.905106,1111.512573,281.449982,298.150848,912.244873,,,,295.030243,358.391266,788.149780,219.704361,242.977859,785.375366,196.389954,118.085136,745.515015,206.916763,102.894958,825.223633,189.952362,15.645262,798.456848,315.641602,-182.567337,1115.066284,282.985138,-263.521484,911.499573,290.690735,-221.289902,751.238037,273.261261,-298.133484,801.281616,148.035553,-231.485840,813.025513,28.885172,-270.549255,759.314941,26.000467,-192.841537,783.228943,-55.144188,-213.652573,808.331726,246.246109,3.182754,1110.643311,,,,225.121262,10.514327,976.271606
8,0,305.295166,212.795410,1111.478882,281.472015,298.123779,912.257141,,,,295.035126,358.383575,788.176453,219.731033,242.939850,785.410156,196.435471,118.027596,745.552185,206.951431,102.829308,825.276367,190.043854,15.837710,798.376343,315.647766,-182.600159,1115.052124,282.993317,-263.555084,911.494202,290.712463,-221.326508,751.239563,273.258270,-298.157867,801.268677,148.029587,-231.518951,813.032959,28.895020,-270.553986,759.301575,25.990889,-192.859924,783.229309,-55.144753,-213.661804,808.335754,246.253220,3.116268,1110.639404,,,,225.177216,10.516393,976.211365
9,0,305.266388,212.731857,1111.484619,281.504883,298.095825,912.269897,,,,295.047089,358.365601,788.207642,219.773605,242.822235,785.430359,196.481842,118.004913,745.588196,206.984756,102.842560,825.332886,190.055511,15.802469,798.433350,315.665375,-182.643219,1115.044800,283.004211,-263.603455,911.482239,290.702332,-221.352509,751.238892,273.245361,-298.194580,801.249268,148.043961,-231.569275,813.050964,28.890715,-270.570435,759.302734,25.990957,-192.897217,783.229492,-55.143402,-213.670074,808.337891,246.266052,3.038474,1110.637329,,,,225.142258,10.434686,976.304565
